year,month,state,tickets
2026,6,ND,120
2026,6,MT,21
2026,6,NY,13
2026,6,Other/Unknown,9
2026,6,AZ,4
2026,6,MN,2
2026,7,ND,14085
2026,7,MN,4732
2026,7,MT,1853
2026,7,TX,1587
2026,7,SD,1406
2026,7,CO,1277
2026,7,CA,1270
2026,7,WI,1185
2026,7,AZ,1063
2026,7,FL,935
2026,7,IL,862
2026,7,WA,832
2026,7,NE,672
2026,7,OH,609
2026,7,IA,607
2026,7,MO,557
2026,7,IN,519
2026,7,TN,467
2026,7,MI,465
2026,7,NY,452
2026,7,PA,410
2026,7,GA,407
2026,7,KS,387
2026,7,OR,383
2026,7,NC,359
2026,7,ID,320
2026,7,VA,311
2026,7,WY,297
2026,7,UT,296
2026,7,AR,278
2026,7,MD,277
2026,7,OK,246
2026,7,AL,214
2026,7,KY,203
2026,7,NV,202
2026,7,SC,194
2026,7,Canada,167
2026,7,LA,157
2026,7,NJ,153
2026,7,MA,146
2026,7,Other/Unknown,138
2026,7,NM,116
2026,7,MS,93
2026,7,DC,79
2026,7,CT,68
2026,7,AK,64
2026,7,NH,52
2026,7,DE,36
2026,7,HI,34
2026,7,WV,34
2026,7,ME,33
2026,7,RI,18
2026,7,VT,18
2026,7,AE,4
2026,7,VI,3
2026,7,AP,2
2026,8,ND,18577
2026,8,MN,6362
2026,8,MT,2295
2026,8,SD,2059
2026,8,WI,1245
2026,8,TX,1196
2026,8,CO,1099
2026,8,FL,1075
2026,8,CA,1056
2026,8,IL,882
2026,8,AZ,866
2026,8,IA,811
2026,8,WA,779
2026,8,MO,650
2026,8,NE,600
2026,8,MI,529
2026,8,PA,483
2026,8,OH,475
2026,8,NY,425
2026,8,VA,410
2026,8,WY,390
2026,8,KS,388
2026,8,NC,361
2026,8,IN,351
2026,8,TN,340
2026,8,GA,307
2026,8,MD,299
2026,8,OR,281
2026,8,ID,268
2026,8,UT,265
2026,8,OK,225
2026,8,Canada,203
2026,8,NJ,201
2026,8,CT,185
2026,8,KY,171
2026,8,AR,168
2026,8,AL,163
2026,8,SC,163
2026,8,MA,153
2026,8,NV,140
2026,8,LA,102
2026,8,Other/Unknown,100
2026,8,DC,96
2026,8,MS,85
2026,8,NM,81
2026,8,NH,57
2026,8,WV,50
2026,8,ME,48
2026,8,DE,40
2026,8,RI,34
2026,8,AK,30
2026,8,VT,19
2026,8,HI,9
2026,8,AE,4
2026,9,ND,7347
2026,9,MN,3777
2026,9,SD,1180
2026,9,MT,1122
2026,9,WI,844
2026,9,TX,688
2026,9,CA,656
2026,9,CO,633
2026,9,FL,546
2026,9,IA,514
2026,9,IL,496
2026,9,WA,468
2026,9,MO,466
2026,9,AZ,457
2026,9,MI,396
2026,9,NE,337
2026,9,PA,317
2026,9,OH,312
2026,9,IN,291
2026,9,KS,272
2026,9,NC,265
2026,9,GA,255
2026,9,NY,245
2026,9,WY,234
2026,9,TN,219
2026,9,OK,206
2026,9,VA,206
2026,9,ID,202
2026,9,OR,189
2026,9,MD,164
2026,9,UT,141
2026,9,NV,115
2026,9,KY,108
2026,9,CT,107
2026,9,SC,103
2026,9,AL,100
2026,9,AR,95
2026,9,MA,94
2026,9,NJ,94
2026,9,NM,76
2026,9,Other/Unknown,67
2026,9,NH,61
2026,9,Canada,56
2026,9,LA,53
2026,9,MS,35
2026,9,ME,34
2026,9,DE,28
2026,9,DC,27
2026,9,AK,22
2026,9,WV,22
2026,9,VT,21
2026,9,RI,18
2026,9,HI,11
