zip,tickets,state
58503,4732,ND
58601,3757,ND
58554,2074,ND
58504,2064,ND
58501,2050,ND
58801,1703,ND
58104,1559,ND
58078,1323,ND
58701,1267,ND
58103,921,ND
58703,866,ND
58201,832,ND
58401,785,ND
58854,784,ND
58102,767,ND
59330,632,MT
56560,513,MN
59270,444,MT
57702,430,SD
57783,410,SD
58523,355,ND
58072,355,ND
58301,332,ND
58545,311,ND
56501,298,MN
58047,282,ND
56308,276,MN
58075,276,ND
56537,275,MN
58645,274,ND
59106,263,MT
59301,260,MT
59102,253,MT
57701,218,SD
58621,211,ND
58623,208,ND
56601,204,MN
59105,190,MT
58622,189,ND
58640,185,ND
58051,173,ND
57401,168,SD
58784,159,ND
58421,159,ND
57108,158,SD
58563,155,ND
55044,153,MN
59718,147,MT
57719,143,SD
58540,143,ND
58368,141,ND
58474,140,ND
56549,139,MN
58639,138,ND
58318,137,ND
82801,137,WY
58278,136,ND
59101,135,MT
55113,131,MN
58203,130,ND
58852,130,ND
58012,129,ND
58647,125,ND
59715,124,MT
55311,124,MN
56401,122,MN
77399,122,TX
59601,120,MT
55303,119,MN
58652,119,ND
56572,117,MN
56573,117,MN
58655,116,ND
59044,116,MT
55082,115,MN
59313,114,MT
58577,113,ND
55304,112,MN
55372,111,MN
56721,109,MN
57717,109,SD
58704,108,ND
57785,108,SD
57703,108,SD
58533,108,ND
58521,104,ND
57730,104,SD
58790,103,ND
58054,100,ND
58646,100,ND
58730,99,ND
57201,98,SD
58341,98,ND
55124,98,MN
59221,97,MT
58722,97,ND
58631,97,ND
58849,97,ND
80015,97,CO
55112,96,MN
58552,96,ND
56377,95,MN
58458,94,ND
55110,92,MN
58436,92,ND
55122,92,MN
57103,91,SD
56544,91,MN
55330,89,MN
55369,88,MN
59714,88,MT
58257,87,ND
55345,87,MN
68516,87,NE
58530,87,ND
58045,86,ND
55125,85,MN
58237,85,ND
55127,85,MN
56201,84,MN
58654,84,ND
55391,84,MN
56470,84,MN
55446,83,MN
55331,83,MN
56701,83,MN
80550,82,CO
58718,82,ND
55014,81,MN
59201,81,MT
55901,81,MN
58482,81,ND
55123,81,MN
58027,80,ND
55347,80,MN
82718,80,WY
56514,80,MN
58602,79,ND
58502,79,ND
58240,79,ND
80016,78,CO
58835,77,ND
57105,77,SD
58802,77,ND
58249,76,ND
58495,76,ND
58579,75,ND
59404,75,MT
55126,74,MN
58059,74,ND
57638,74,SD
58270,74,ND
58558,73,ND
55418,73,MN
56762,72,MN
55313,72,MN
57110,72,SD
54022,72,WI
58348,71,ND
55811,71,MN
59218,71,MT
55374,71,MN
59230,71,MT
58763,70,ND
57104,70,SD
58630,70,ND
56515,70,MN
54016,70,WI
55038,69,MN
58274,68,ND
59254,68,MT
57006,68,SD
58638,67,ND
58425,67,ND
58843,67,ND
55416,67,MN
57747,66,SD
85375,66,AZ
57501,66,SD
58042,65,ND
57769,64,SD
55318,64,MN
58575,64,ND
80127,63,CO
58052,63,ND
55379,63,MN
58785,62,ND
58041,62,ND
56716,62,MN
58356,62,ND
85209,62,AZ
55406,61,MN
55804,61,MN
55337,61,MN
58759,61,ND
58220,60,ND
55906,60,MN
55305,60,MN
58636,60,ND
85255,59,AZ
80504,59,CO
59457,59,MT
56751,58,MN
55417,58,MN
56586,58,MN
55427,58,MN
55387,57,MN
55902,57,MN
82009,57,WY
59602,57,MT
85118,57,AZ
85374,57,AZ
55441,56,MN
56529,56,MN
83646,56,ID
57718,56,SD
58011,55,ND
55317,55,MN
59405,55,MT
56001,55,MN
78633,55,TX
55447,55,MN
32163,55,FL
55118,54,MN
56334,54,MN
57793,54,SD
58005,54,ND
55129,54,MN
55423,54,MN
58788,54,ND
54729,53,WI
58561,53,ND
57106,53,SD
82435,53,WY
55407,53,MN
56472,52,MN
55016,52,MN
55419,52,MN
56301,52,MN
80528,51,CO
55343,51,MN
82414,51,WY
59047,51,MT
58576,51,ND
55744,51,MN
38017,51,TN
56547,51,MN
55803,51,MN
58433,50,ND
58831,50,ND
55424,50,MN
55422,50,MN
80401,50,CO
58650,50,ND
56554,50,MN
59901,50,MT
80134,49,CO
80525,49,CO
82729,49,WY
56528,49,MN
58429,49,ND
56446,49,MN
57301,49,SD
72712,49,AR
80538,48,CO
58746,48,ND
58046,48,ND
46077,48,IN
56540,48,MN
50131,48,IA
58380,48,ND
54701,47,WI
58656,47,ND
58077,47,ND
80602,47,CO
85383,47,AZ
58367,47,ND
82716,46,WY
55378,46,MN
57744,46,SD
55102,46,MN
55021,46,MN
59353,46,MT
80123,46,CO
55436,46,MN
55359,46,MN
55042,46,MN
58741,46,ND
58535,46,ND
80524,46,CO
55401,45,MN
59262,45,MT
58653,45,ND
55068,45,MN
55024,45,MN
53590,44,WI
55116,44,MN
56320,44,MN
56511,44,MN
56510,44,MN
75220,44,TX
55008,44,MN
55443,44,MN
55340,44,MN
55437,44,MN
58761,44,ND
59327,43,MT
55309,43,MN
56520,43,MN
55449,43,MN
20003,43,DC
84093,43,UT
56258,43,MN
53562,43,WI
58420,43,ND
54115,43,WI
55442,42,MN
56468,42,MN
68022,42,NE
80634,42,CO
58413,42,ND
32043,42,FL
58487,42,ND
58750,42,ND
58282,42,ND
55438,42,MN
57754,41,SD
58565,41,ND
80516,41,CO
58402,41,ND
54313,41,WI
73102,41,OK
80503,41,CO
55904,41,MN
58254,41,ND
54601,40,WI
56345,40,MN
50023,40,IA
85016,40,AZ
58727,40,ND
94121,40,CA
56267,40,MN
58531,40,ND
50312,40,IA
58251,40,ND
58740,40,ND
58544,40,ND
59068,40,MT
32536,39,FL
80109,39,CO
57601,39,SD
55386,39,MN
56728,39,MN
56378,39,MN
58456,39,ND
59324,39,MT
56374,39,MN
50266,38,IA
32162,38,FL
75230,38,TX
83616,38,ID
63017,38,MO
77356,38,TX
58770,38,ND
56567,38,MN
58416,38,ND
56621,37,MN
58467,37,ND
50613,37,IA
56156,37,MN
56367,37,MN
55448,37,MN
56535,37,MN
86305,37,AZ
57631,37,SD
85396,37,AZ
58549,37,ND
20002,36,DC
58573,36,ND
58771,36,ND
60565,36,IL
56571,36,MN
55105,36,MN
58324,36,ND
85260,36,AZ
57032,36,SD
56425,36,MN
56431,36,MN
58773,35,ND
55746,35,MN
68008,35,NE
56071,35,MN
85212,35,AZ
85395,35,AZ
85206,35,AZ
56379,35,MN
83706,35,ID
48103,35,MI
55025,35,MN
55033,35,MN
58275,35,ND
82001,35,WY
55108,35,MN
74114,35,OK
68114,35,NE
55325,35,MN
55376,35,MN
54025,35,WI
55316,34,MN
98513,34,WA
56542,34,MN
68130,34,NE
82604,34,WY
85338,34,AZ
58053,34,ND
56443,34,MN
58642,34,ND
59808,34,MT
56587,34,MN
58463,34,ND
58424,34,ND
57350,34,SD
