date,aqi,category,main_pollutant,pm25,source
2015-01-01,35,Good,Ozone,,aqs
2015-01-02,34,Good,Ozone,,aqs
2015-01-03,33,Good,Ozone,,aqs
2015-01-04,32,Good,Ozone,,aqs
2015-01-05,30,Good,Ozone,,aqs
2015-01-06,31,Good,Ozone,,aqs
2015-01-07,33,Good,Ozone,,aqs
2015-01-08,33,Good,Ozone,,aqs
2015-01-09,33,Good,Ozone,,aqs
2015-01-10,32,Good,Ozone,,aqs
2015-01-11,34,Good,Ozone,,aqs
2015-01-12,32,Good,Ozone,,aqs
2015-01-13,35,Good,Ozone,,aqs
2015-01-14,36,Good,Ozone,,aqs
2015-01-15,39,Good,Ozone,,aqs
2015-01-16,39,Good,Ozone,,aqs
2015-01-17,35,Good,Ozone,,aqs
2015-01-18,38,Good,Ozone,,aqs
2015-01-19,38,Good,Ozone,,aqs
2015-01-20,32,Good,Ozone,,aqs
2015-01-21,31,Good,Ozone,,aqs
2015-01-22,33,Good,Ozone,,aqs
2015-01-23,32,Good,Ozone,,aqs
2015-01-24,30,Good,Ozone,,aqs
2015-01-25,30,Good,Ozone,,aqs
2015-01-26,27,Good,Ozone,,aqs
2015-01-27,29,Good,Ozone,,aqs
2015-01-28,26,Good,Ozone,,aqs
2015-01-29,33,Good,PM2.5,,aqs
2015-01-30,33,Good,PM2.5,,aqs
2015-01-31,36,Good,PM2.5,,aqs
2015-02-01,33,Good,Ozone,,aqs
2015-02-02,31,Good,Ozone,,aqs
2015-02-03,42,Good,PM2.5,,aqs
2015-02-04,34,Good,Ozone,,aqs
2015-02-05,30,Good,Ozone,,aqs
2015-02-06,23,Good,Ozone,,aqs
2015-02-07,29,Good,Ozone,,aqs
2015-02-08,31,Good,Ozone,,aqs
2015-02-09,17,Good,Ozone,,aqs
2015-02-10,36,Good,PM2.5,,aqs
2015-02-11,36,Good,PM2.5,,aqs
2015-02-12,38,Good,PM2.5,,aqs
2015-02-13,33,Good,PM2.5,,aqs
2015-02-14,36,Good,PM2.5,,aqs
2015-02-15,30,Good,Ozone,,aqs
2015-02-16,34,Good,Ozone,,aqs
2015-02-17,37,Good,Ozone,,aqs
2015-02-18,35,Good,Ozone,,aqs
2015-02-19,30,Good,Ozone,,aqs
2015-02-20,33,Good,Ozone,,aqs
2015-02-21,37,Good,Ozone,,aqs
2015-02-22,34,Good,Ozone,,aqs
2015-02-23,36,Good,Ozone,,aqs
2015-02-24,31,Good,Ozone,,aqs
2015-02-25,37,Good,Ozone,,aqs
2015-02-26,36,Good,Ozone,,aqs
2015-02-27,36,Good,Ozone,,aqs
2015-02-28,35,Good,Ozone,,aqs
2015-03-01,38,Good,PM2.5,,aqs
2015-03-02,38,Good,Ozone,,aqs
2015-03-03,37,Good,Ozone,,aqs
2015-03-04,36,Good,Ozone,,aqs
2015-03-05,43,Good,Ozone,,aqs
2015-03-06,40,Good,Ozone,,aqs
2015-03-07,40,Good,Ozone,,aqs
2015-03-08,41,Good,Ozone,,aqs
2015-03-09,40,Good,Ozone,,aqs
2015-03-10,43,Good,Ozone,,aqs
2015-03-11,38,Good,Ozone,,aqs
2015-03-12,41,Good,Ozone,,aqs
2015-03-13,44,Good,Ozone,,aqs
2015-03-14,42,Good,Ozone,,aqs
2015-03-15,35,Good,Ozone,,aqs
2015-03-16,41,Good,Ozone,,aqs
2015-03-17,39,Good,Ozone,,aqs
2015-03-18,31,Good,Ozone,,aqs
2015-03-19,38,Good,Ozone,,aqs
2015-03-20,39,Good,Ozone,,aqs
2015-03-21,31,Good,Ozone,,aqs
2015-03-22,38,Good,Ozone,,aqs
2015-03-23,39,Good,PM2.5,,aqs
2015-03-24,32,Good,PM2.5,,aqs
2015-03-25,35,Good,Ozone,,aqs
2015-03-26,34,Good,Ozone,,aqs
2015-03-27,35,Good,Ozone,,aqs
2015-03-28,38,Good,Ozone,,aqs
2015-03-29,42,Good,Ozone,,aqs
2015-03-30,42,Good,Ozone,,aqs
2015-03-31,46,Good,Ozone,,aqs
2015-04-01,43,Good,Ozone,,aqs
2015-04-02,35,Good,Ozone,,aqs
2015-04-03,40,Good,Ozone,,aqs
2015-04-04,44,Good,Ozone,,aqs
2015-04-05,39,Good,PM2.5,,aqs
2015-04-06,47,Good,PM2.5,,aqs
2015-04-07,38,Good,Ozone,,aqs
2015-04-08,34,Good,Ozone,,aqs
