airport,year,enplanements,source
BIL,2005,404427,FAA CY2005
BIL,2007,427389,FAA CY2007
BIL,2010,388329,FAA CY2010
BIL,2011,407375,FAA CY2011
BIL,2012,440277,FAA CY2012
BIL,2013,387773,FAA CY2013
BIL,2014,420113,FAA CY2014
BIL,2015,420426,FAA CY2015
BIL,2016,423213,FAA CY2016
BIL,2017,415093,FAA CY2017
BIL,2018,440263,FAA CY2018
BIL,2019,468888,FAA CY2019
BIL,2020,240713,FAA CY2020
BIL,2021,379300,FAA CY2021
BIL,2022,386948,FAA CY2022
BIL,2023,428868,FAA CY2023
BIL,2024,475334,FAA CY2024
BIL,2025,503097,FAA CY2025
BIS,2005,174567,FAA CY2005
BIS,2007,182918,FAA CY2007
BIS,2010,196285,FAA CY2010
BIS,2011,197181,FAA CY2011
BIS,2012,239018,FAA CY2012
BIS,2013,238929,FAA CY2013
BIS,2014,248316,FAA CY2014
BIS,2015,262469,FAA CY2015
BIS,2016,273980,FAA CY2016
BIS,2017,275098,FAA CY2017
BIS,2018,285198,FAA CY2018
BIS,2019,311618,FAA CY2019
BIS,2020,151966,FAA CY2020
BIS,2021,215056,FAA CY2021
BIS,2022,242918,FAA CY2022
BIS,2023,258780,FAA CY2023
BIS,2024,295900,FAA CY2024
BIS,2025,309651,FAA CY2025
DIK,2005,5010,FAA CY2005
DIK,2007,7603,FAA CY2007
DIK,2010,10383,FAA CY2010
DIK,2011,19001,FAA CY2011
DIK,2012,23729,FAA CY2012
DIK,2013,34980,FAA CY2013
DIK,2014,58987,FAA CY2014
DIK,2015,41925,FAA CY2015
DIK,2016,16822,FAA CY2016
DIK,2017,18963,FAA CY2017
DIK,2018,22595,FAA CY2018
DIK,2019,23835,FAA CY2019
DIK,2020,11407,FAA CY2020
DIK,2021,17506,FAA CY2021
DIK,2022,21606,FAA CY2022
DIK,2023,24123,FAA CY2023
DIK,2024,26146,FAA CY2024
DIK,2025,24935,FAA CY2025
FAR,2005,285298,FAA CY2005
FAR,2007,300848,FAA CY2007
FAR,2010,365963,FAA CY2010
FAR,2011,346459,FAA CY2011
FAR,2012,369969,FAA CY2012
FAR,2013,403919,FAA CY2013
FAR,2014,456372,FAA CY2014
FAR,2015,437188,FAA CY2015
FAR,2016,402976,FAA CY2016
FAR,2017,404937,FAA CY2017
FAR,2018,429667,FAA CY2018
FAR,2019,480776,FAA CY2019
FAR,2020,244019,FAA CY2020
FAR,2021,408477,FAA CY2021
FAR,2022,463181,FAA CY2022
FAR,2023,522976,FAA CY2023
FAR,2024,552860,FAA CY2024
FAR,2025,598447,FAA CY2025
MOT,2005,76467,FAA CY2005
MOT,2007,70960,FAA CY2007
MOT,2010,91120,FAA CY2010
MOT,2011,151424,FAA CY2011
MOT,2012,222188,FAA CY2012
MOT,2013,220797,FAA CY2013
MOT,2014,219957,FAA CY2014
MOT,2015,181328,FAA CY2015
MOT,2016,150634,FAA CY2016
MOT,2017,141161,FAA CY2017
MOT,2018,149865,FAA CY2018
MOT,2019,164103,FAA CY2019
MOT,2020,85147,FAA CY2020
MOT,2021,126575,FAA CY2021
MOT,2022,139351,FAA CY2022
MOT,2023,146874,FAA CY2023
MOT,2024,169463,FAA CY2024
MOT,2025,179412,FAA CY2025
RAP,2005,244174,FAA CY2005
RAP,2007,237692,FAA CY2007
RAP,2010,284126,FAA CY2010
RAP,2011,254292,FAA CY2011
RAP,2012,252592,FAA CY2012
RAP,2013,256052,FAA CY2013
RAP,2014,266623,FAA CY2014
RAP,2015,264183,FAA CY2015
RAP,2016,272537,FAA CY2016
RAP,2017,286567,FAA CY2017
RAP,2018,303471,FAA CY2018
RAP,2019,342794,FAA CY2019
RAP,2020,179119,FAA CY2020
RAP,2021,337788,FAA CY2021
RAP,2022,331345,FAA CY2022
RAP,2023,345532,FAA CY2023
RAP,2024,418183,FAA CY2024
RAP,2025,443125,FAA CY2025
