airport,year,month,passengers
BIL,2019,1,31744
BIL,2019,2,30158
BIL,2019,3,35316
BIL,2019,4,34165
BIL,2019,5,38382
BIL,2019,6,43384
BIL,2019,7,48764
BIL,2019,8,45393
BIL,2019,9,39813
BIL,2019,10,38554
BIL,2019,11,35128
BIL,2019,12,42365
BIL,2020,1,34983
BIL,2020,2,32682
BIL,2020,3,18450
BIL,2020,4,2082
BIL,2020,5,7027
BIL,2020,6,13150
BIL,2020,7,22402
BIL,2020,8,23832
BIL,2020,9,21608
BIL,2020,10,22296
BIL,2020,11,20163
BIL,2020,12,21975
BIL,2021,1,17988
BIL,2021,2,17595
BIL,2021,3,27219
BIL,2021,4,25397
BIL,2021,5,31866
BIL,2021,6,40346
BIL,2021,7,45723
BIL,2021,8,41095
BIL,2021,9,34189
BIL,2021,10,34078
BIL,2021,11,31457
BIL,2021,12,31270
BIL,2022,1,25767
BIL,2022,2,25553
BIL,2022,3,31002
BIL,2022,4,27405
BIL,2022,5,31585
BIL,2022,6,32135
BIL,2022,7,36657
BIL,2022,8,37166
BIL,2022,9,36439
BIL,2022,10,35134
BIL,2022,11,33310
BIL,2022,12,34723
BIL,2023,1,30647
BIL,2023,2,29038
BIL,2023,3,34820
BIL,2023,4,32208
BIL,2023,5,34581
BIL,2023,6,37368
BIL,2023,7,42772
BIL,2023,8,42021
BIL,2023,9,37939
BIL,2023,10,37539
BIL,2023,11,34701
BIL,2023,12,35121
BIL,2024,1,31699
BIL,2024,2,31352
BIL,2024,3,34741
BIL,2024,4,33507
BIL,2024,5,38797
BIL,2024,6,44524
BIL,2024,7,49973
BIL,2024,8,48526
BIL,2024,9,41324
BIL,2024,10,41687
BIL,2024,11,38110
BIL,2024,12,41079
BIL,2025,1,35744
BIL,2025,2,31925
BIL,2025,3,38635
BIL,2025,4,36297
BIL,2025,5,41340
BIL,2025,6,47749
BIL,2025,7,52200
BIL,2025,8,49642
BIL,2025,9,44780
BIL,2025,10,45880
BIL,2025,11,37532
BIL,2025,12,41275
BIL,2026,1,35029
BIL,2026,2,32284
BIL,2026,3,38137
BIL,2026,4,37210
BIL,2026,5,43297
BIL,2026,6,47201
BIS,2019,1,22599
BIS,2019,2,23921
BIS,2019,3,27908
BIS,2019,4,24563
BIS,2019,5,26033
BIS,2019,6,26931
BIS,2019,7,28995
BIS,2019,8,25883
BIS,2019,9,24010
BIS,2019,10,26936
BIS,2019,11,24022
BIS,2019,12,29207
BIS,2020,1,25156
BIS,2020,2,27067
BIS,2020,3,14702
BIS,2020,4,1216
BIS,2020,5,4467
BIS,2020,6,7773
BIS,2020,7,11199
BIS,2020,8,10832
BIS,2020,9,10245
BIS,2020,10,12717
BIS,2020,11,11473
BIS,2020,12,14741
BIS,2021,1,10977
BIS,2021,2,13095
BIS,2021,3,18100
BIS,2021,4,15746
BIS,2021,5,17726
BIS,2021,6,20281
BIS,2021,7,22275
BIS,2021,8,19300
BIS,2021,9,17789
BIS,2021,10,19516
BIS,2021,11,18662
BIS,2021,12,20857
BIS,2022,1,16868
BIS,2022,2,18661
BIS,2022,3,22427
BIS,2022,4,18559
BIS,2022,5,20372
BIS,2022,6,21597
BIS,2022,7,22193
BIS,2022,8,20387
BIS,2022,9,20021
BIS,2022,10,21858
BIS,2022,11,18495
BIS,2022,12,21262
BIS,2023,1,20068
BIS,2023,2,19725
BIS,2023,3,21639
BIS,2023,4,19247
BIS,2023,5,20739
BIS,2023,6,22134
BIS,2023,7,24064
BIS,2023,8,21812
BIS,2023,9,21239
BIS,2023,10,24208
BIS,2023,11,21571
BIS,2023,12,21896
BIS,2024,1,21306
BIS,2024,2,22252
BIS,2024,3,23520
BIS,2024,4,21829
BIS,2024,5,25924
BIS,2024,6,25335
