area,series,year,month,jobs_thousands,prelim
Bismarck MSA,Accommodation & food services,2015,1,6.1,False
Bismarck MSA,Accommodation & food services,2015,2,6.1,False
Bismarck MSA,Accommodation & food services,2015,3,6.2,False
Bismarck MSA,Accommodation & food services,2015,4,6.2,False
Bismarck MSA,Accommodation & food services,2015,5,6.3,False
Bismarck MSA,Accommodation & food services,2015,6,6.4,False
Bismarck MSA,Accommodation & food services,2015,7,6.3,False
Bismarck MSA,Accommodation & food services,2015,8,6.3,False
Bismarck MSA,Accommodation & food services,2015,9,6.4,False
Bismarck MSA,Accommodation & food services,2015,10,6.3,False
Bismarck MSA,Accommodation & food services,2015,11,6.5,False
Bismarck MSA,Accommodation & food services,2015,12,6.4,False
Bismarck MSA,Accommodation & food services,2016,1,6.3,False
Bismarck MSA,Accommodation & food services,2016,2,6.2,False
Bismarck MSA,Accommodation & food services,2016,3,6.3,False
Bismarck MSA,Accommodation & food services,2016,4,6.4,False
Bismarck MSA,Accommodation & food services,2016,5,6.3,False
Bismarck MSA,Accommodation & food services,2016,6,6.5,False
Bismarck MSA,Accommodation & food services,2016,7,6.4,False
Bismarck MSA,Accommodation & food services,2016,8,6.4,False
Bismarck MSA,Accommodation & food services,2016,9,6.4,False
Bismarck MSA,Accommodation & food services,2016,10,6.4,False
Bismarck MSA,Accommodation & food services,2016,11,6.4,False
Bismarck MSA,Accommodation & food services,2016,12,6.3,False
Bismarck MSA,Accommodation & food services,2017,1,6.1,False
Bismarck MSA,Accommodation & food services,2017,2,6.2,False
Bismarck MSA,Accommodation & food services,2017,3,6.3,False
Bismarck MSA,Accommodation & food services,2017,4,6.4,False
Bismarck MSA,Accommodation & food services,2017,5,6.4,False
Bismarck MSA,Accommodation & food services,2017,6,6.6,False
Bismarck MSA,Accommodation & food services,2017,7,6.6,False
Bismarck MSA,Accommodation & food services,2017,8,6.5,False
Bismarck MSA,Accommodation & food services,2017,9,6.4,False
Bismarck MSA,Accommodation & food services,2017,10,6.3,False
Bismarck MSA,Accommodation & food services,2017,11,6.3,False
Bismarck MSA,Accommodation & food services,2017,12,6.3,False
Bismarck MSA,Accommodation & food services,2018,1,6.0,False
Bismarck MSA,Accommodation & food services,2018,2,6.1,False
Bismarck MSA,Accommodation & food services,2018,3,6.1,False
Bismarck MSA,Accommodation & food services,2018,4,6.2,False
Bismarck MSA,Accommodation & food services,2018,5,6.3,False
Bismarck MSA,Accommodation & food services,2018,6,6.5,False
Bismarck MSA,Accommodation & food services,2018,7,6.5,False
Bismarck MSA,Accommodation & food services,2018,8,6.5,False
Bismarck MSA,Accommodation & food services,2018,9,6.5,False
Bismarck MSA,Accommodation & food services,2018,10,6.5,False
Bismarck MSA,Accommodation & food services,2018,11,6.4,False
Bismarck MSA,Accommodation & food services,2018,12,6.4,False
Bismarck MSA,Accommodation & food services,2019,1,6.2,False
Bismarck MSA,Accommodation & food services,2019,2,6.2,False
Bismarck MSA,Accommodation & food services,2019,3,6.2,False
Bismarck MSA,Accommodation & food services,2019,4,6.4,False
Bismarck MSA,Accommodation & food services,2019,5,6.5,False
Bismarck MSA,Accommodation & food services,2019,6,6.7,False
Bismarck MSA,Accommodation & food services,2019,7,6.6,False
Bismarck MSA,Accommodation & food services,2019,8,6.6,False
Bismarck MSA,Accommodation & food services,2019,9,6.5,False
Bismarck MSA,Accommodation & food services,2019,10,6.3,False
Bismarck MSA,Accommodation & food services,2019,11,6.3,False
Bismarck MSA,Accommodation & food services,2019,12,6.2,False
Bismarck MSA,Accommodation & food services,2020,1,6.1,False
Bismarck MSA,Accommodation & food services,2020,2,6.2,False
Bismarck MSA,Accommodation & food services,2020,3,6.1,False
Bismarck MSA,Accommodation & food services,2020,4,3.4,False
Bismarck MSA,Accommodation & food services,2020,5,4.8,False
Bismarck MSA,Accommodation & food services,2020,6,5.5,False
Bismarck MSA,Accommodation & food services,2020,7,5.7,False
Bismarck MSA,Accommodation & food services,2020,8,5.7,False
Bismarck MSA,Accommodation & food services,2020,9,5.6,False
Bismarck MSA,Accommodation & food services,2020,10,5.6,False
Bismarck MSA,Accommodation & food services,2020,11,5.4,False
Bismarck MSA,Accommodation & food services,2020,12,5.3,False
Bismarck MSA,Accommodation & food services,2021,1,5.5,False
Bismarck MSA,Accommodation & food services,2021,2,5.6,False
Bismarck MSA,Accommodation & food services,2021,3,5.7,False
Bismarck MSA,Accommodation & food services,2021,4,5.7,False
Bismarck MSA,Accommodation & food services,2021,5,5.8,False
Bismarck MSA,Accommodation & food services,2021,6,6.1,False
Bismarck MSA,Accommodation & food services,2021,7,6.1,False
Bismarck MSA,Accommodation & food services,2021,8,6.1,False
Bismarck MSA,Accommodation & food services,2021,9,6.0,False
Bismarck MSA,Accommodation & food services,2021,10,6.0,False
Bismarck MSA,Accommodation & food services,2021,11,6.0,False
Bismarck MSA,Accommodation & food services,2021,12,6.0,False
Bismarck MSA,Accommodation & food services,2022,1,5.8,False
Bismarck MSA,Accommodation & food services,2022,2,6.0,False
Bismarck MSA,Accommodation & food services,2022,3,6.0,False
Bismarck MSA,Accommodation & food services,2022,4,6.0,False
Bismarck MSA,Accommodation & food services,2022,5,6.3,False
Bismarck MSA,Accommodation & food services,2022,6,6.6,False
Bismarck MSA,Accommodation & food services,2022,7,6.4,False
Bismarck MSA,Accommodation & food services,2022,8,6.4,False
Bismarck MSA,Accommodation & food services,2022,9,6.3,False
Bismarck MSA,Accommodation & food services,2022,10,6.2,False
Bismarck MSA,Accommodation & food services,2022,11,6.1,False
Bismarck MSA,Accommodation & food services,2022,12,6.1,False
Bismarck MSA,Accommodation & food services,2023,1,6.1,False
Bismarck MSA,Accommodation & food services,2023,2,6.2,False
Bismarck MSA,Accommodation & food services,2023,3,6.2,False
Bismarck MSA,Accommodation & food services,2023,4,6.3,False
Bismarck MSA,Accommodation & food services,2023,5,6.4,False
Bismarck MSA,Accommodation & food services,2023,6,6.7,False
Bismarck MSA,Accommodation & food services,2023,7,6.6,False
Bismarck MSA,Accommodation & food services,2023,8,6.6,False
Bismarck MSA,Accommodation & food services,2023,9,6.4,False
Bismarck MSA,Accommodation & food services,2023,10,6.3,False
Bismarck MSA,Accommodation & food services,2023,11,6.3,False
Bismarck MSA,Accommodation & food services,2023,12,6.2,False
Bismarck MSA,Accommodation & food services,2024,1,6.1,False
Bismarck MSA,Accommodation & food services,2024,2,6.1,False
Bismarck MSA,Accommodation & food services,2024,3,6.2,False
Bismarck MSA,Accommodation & food services,2024,4,6.3,False
Bismarck MSA,Accommodation & food services,2024,5,6.4,False
Bismarck MSA,Accommodation & food services,2024,6,6.6,False
Bismarck MSA,Accommodation & food services,2024,7,6.6,False
Bismarck MSA,Accommodation & food services,2024,8,6.7,False
Bismarck MSA,Accommodation & food services,2024,9,6.4,False
Bismarck MSA,Accommodation & food services,2024,10,6.4,False
Bismarck MSA,Accommodation & food services,2024,11,6.3,False
Bismarck MSA,Accommodation & food services,2024,12,6.2,False
Bismarck MSA,Accommodation & food services,2025,1,6.1,False
Bismarck MSA,Accommodation & food services,2025,2,6.3,False
Bismarck MSA,Accommodation & food services,2025,3,6.3,False
Bismarck MSA,Accommodation & food services,2025,4,6.3,False
Bismarck MSA,Accommodation & food services,2025,5,6.5,False
Bismarck MSA,Accommodation & food services,2025,6,6.7,False
Bismarck MSA,Accommodation & food services,2025,7,6.6,False
Bismarck MSA,Accommodation & food services,2025,8,6.6,False
Bismarck MSA,Accommodation & food services,2025,9,6.3,False
Bismarck MSA,Accommodation & food services,2025,10,6.4,False
Bismarck MSA,Accommodation & food services,2025,11,6.2,False
Bismarck MSA,Accommodation & food services,2025,12,6.1,False
Bismarck MSA,Accommodation & food services,2026,1,6.0,False
Bismarck MSA,Accommodation & food services,2026,2,6.1,False
Bismarck MSA,Accommodation & food services,2026,3,6.2,False
Bismarck MSA,Accommodation & food services,2026,4,6.2,False
Bismarck MSA,Accommodation & food services,2026,5,6.4,False
Bismarck MSA,Accommodation & food services,2026,6,6.6,False
Bismarck MSA,Accommodation & food services,2026,7,6.6,True
Bismarck MSA,Leisure & hospitality,2015,1,6.5,False
Bismarck MSA,Leisure & hospitality,2015,2,6.6,False
Bismarck MSA,Leisure & hospitality,2015,3,6.6,False
Bismarck MSA,Leisure & hospitality,2015,4,6.8,False
Bismarck MSA,Leisure & hospitality,2015,5,6.8,False
Bismarck MSA,Leisure & hospitality,2015,6,7.0,False
Bismarck MSA,Leisure & hospitality,2015,7,6.9,False
Bismarck MSA,Leisure & hospitality,2015,8,6.9,False
Bismarck MSA,Leisure & hospitality,2015,9,6.9,False
Bismarck MSA,Leisure & hospitality,2015,10,6.8,False
Bismarck MSA,Leisure & hospitality,2015,11,6.9,False
Bismarck MSA,Leisure & hospitality,2015,12,6.9,False
Bismarck MSA,Leisure & hospitality,2016,1,6.7,False
Bismarck MSA,Leisure & hospitality,2016,2,6.7,False
Bismarck MSA,Leisure & hospitality,2016,3,6.8,False
Bismarck MSA,Leisure & hospitality,2016,4,6.9,False
Bismarck MSA,Leisure & hospitality,2016,5,7.0,False
Bismarck MSA,Leisure & hospitality,2016,6,7.2,False
Bismarck MSA,Leisure & hospitality,2016,7,7.1,False
Bismarck MSA,Leisure & hospitality,2016,8,7.0,False
Bismarck MSA,Leisure & hospitality,2016,9,7.0,False
Bismarck MSA,Leisure & hospitality,2016,10,6.9,False
Bismarck MSA,Leisure & hospitality,2016,11,6.9,False
Bismarck MSA,Leisure & hospitality,2016,12,6.9,False
Bismarck MSA,Leisure & hospitality,2017,1,6.6,False
Bismarck MSA,Leisure & hospitality,2017,2,6.9,False
Bismarck MSA,Leisure & hospitality,2017,3,7.0,False
Bismarck MSA,Leisure & hospitality,2017,4,7.1,False
Bismarck MSA,Leisure & hospitality,2017,5,7.2,False
Bismarck MSA,Leisure & hospitality,2017,6,7.5,False
Bismarck MSA,Leisure & hospitality,2017,7,7.5,False
Bismarck MSA,Leisure & hospitality,2017,8,7.5,False
Bismarck MSA,Leisure & hospitality,2017,9,7.3,False
Bismarck MSA,Leisure & hospitality,2017,10,7.1,False
Bismarck MSA,Leisure & hospitality,2017,11,7.2,False
Bismarck MSA,Leisure & hospitality,2017,12,7.1,False
Bismarck MSA,Leisure & hospitality,2018,1,7.0,False
Bismarck MSA,Leisure & hospitality,2018,2,7.1,False
Bismarck MSA,Leisure & hospitality,2018,3,7.2,False
Bismarck MSA,Leisure & hospitality,2018,4,7.2,False
Bismarck MSA,Leisure & hospitality,2018,5,7.4,False
