year,month,rain_days,tmax_mean_f,hot_days_90f,gas_midwest_usd,cad_per_usd,nd_oil_bbl_per_day,nd_rig_count
2015,1,0.0,30.8,0.0,1.944,1.2122,1191581.0,188.0
2015,2,0.0,29.3,0.0,2.176,1.2499,1178502.0,133.0
2015,3,2.0,52.8,0.0,2.354,1.2618,1191503.0,108.0
2015,4,4.0,57.9,0.0,2.363,1.2337,1170212.0,91.0
2015,5,5.0,63.4,0.0,2.565,1.2176,1202983.0,83.0
2015,6,12.0,76.6,1.0,2.729,1.2365,1211656.0,78.0
2015,7,5.0,84.2,10.0,2.678,1.2863,1207466.0,73.0
2015,8,4.0,85.3,10.0,2.584,1.3147,1187833.0,74.0
2015,9,1.0,78.6,4.0,2.305,1.3266,1162332.0,71.0
2015,10,4.0,60.9,0.0,2.321,1.3072,1172832.0,68.0
2015,11,0.0,43.9,0.0,2.076,1.3279,1181787.0,65.0
2015,12,0.0,32.1,0.0,1.878,1.3713,1152280.0,64.0
2016,1,0.0,26.9,0.0,1.756,1.4208,1121630.0,52.0
2016,2,1.0,40.2,0.0,1.599,1.3797,1119574.0,40.0
2016,3,0.0,50.9,0.0,1.91,1.3226,1111716.0,32.0
2016,4,6.0,55.4,0.0,2.027,1.2818,1042025.0,29.0
2016,5,4.0,67.5,0.0,2.219,1.2945,1046989.0,27.0
2016,6,6.0,79.0,2.0,2.384,1.2894,1027230.0,28.0
2016,7,6.0,82.7,8.0,2.148,1.3052,1029322.0,31.0
2016,8,2.0,82.8,5.0,2.142,1.2998,981239.0,32.0
2016,9,6.0,69.8,0.0,2.153,1.3108,971141.0,34.0
2016,10,1.0,57.1,0.0,2.146,1.3251,1042790.0,33.0
2016,11,1.0,51.0,0.0,2.032,1.3434,1034484.0,37.0
2016,12,0.0,18.4,0.0,2.185,1.3339,942461.0,40.0
2017,1,0.0,18.7,0.0,2.272,1.3183,983826.0,38.0
2017,2,1.0,30.7,0.0,2.198,1.3109,1034177.0,39.0
2017,3,2.0,43.5,0.0,2.222,1.3387,1025839.0,46.0
2017,4,2.0,54.5,0.0,2.334,1.3437,1050837.0,50.0
2017,5,3.0,68.2,0.0,2.281,1.3606,1040659.0,50.0
2017,6,2.0,79.2,3.0,2.23,1.3295,1032942.0,55.0
2017,7,4.0,91.8,19.0,2.207,1.269,1048570.0,58.0
2017,8,6.0,79.7,3.0,2.285,1.2608,1089277.0,56.0
2017,9,5.0,71.8,3.0,2.473,1.2279,1107464.0,56.0
2017,10,0.0,58.9,0.0,2.386,1.2607,1183810.0,56.0
2017,11,0.0,42.2,0.0,2.498,1.2773,1194920.0,54.0
2017,12,0.0,27.0,0.0,2.365,1.2769,0.0,52.0
2018,1,0.0,27.8,0.0,2.473,1.2429,1177590.0,56.0
2018,2,0.0,18.4,0.0,2.448,1.2588,1175035.0,57.0
2018,3,2.0,35.9,0.0,2.469,1.2933,1162091.0,59.0
2018,4,3.0,48.2,0.0,2.62,1.2732,1226879.0,60.0
2018,5,6.0,72.8,1.0,2.803,1.2866,1247680.0,62.0
2018,6,10.0,78.6,1.0,2.793,1.3125,1231099.0,63.0
2018,7,3.0,82.7,3.0,2.769,1.3133,1269212.0,66.0
2018,8,1.0,84.4,11.0,2.753,1.3042,1292457.0,61.0
2018,9,4.0,67.9,1.0,2.755,1.3034,1359238.0,65.0
2018,10,3.0,54.0,0.0,2.748,1.3004,1392407.0,67.0
2018,11,4.0,35.6,0.0,2.462,1.3205,1376803.0,64.0
2018,12,0.0,34.8,0.0,2.126,1.3436,1401385.0,67.0
2019,1,0.0,27.2,0.0,2.035,1.33,1403891.0,66.0
2019,2,0.0,7.9,0.0,2.186,1.3209,1336674.0,64.0
2019,3,0.0,33.2,0.0,2.442,1.3371,1394124.0,66.0
2019,4,6.0,55.3,0.0,2.704,1.3378,1392564.0,63.0
2019,5,4.0,59.7,0.0,2.74,1.346,1395018.0,65.0
2019,6,5.0,75.9,0.0,2.617,1.3289,1425210.0,63.0
2019,7,7.0,81.0,2.0,2.682,1.3105,1445864.0,57.0
2019,8,3.0,80.2,3.0,2.542,1.3273,1481008.0,62.0
2019,9,11.0,70.4,3.0,2.486,1.3241,1443964.0,61.0
2019,10,3.0,47.8,0.0,2.466,1.3189,1518588.0,59.0
2019,11,0.0,37.0,0.0,2.422,1.3237,1519037.0,56.0
2019,12,0.0,30.9,0.0,2.419,1.3169,1475685.0,55.0
2020,1,0.0,26.6,0.0,2.409,1.3089,1431679.0,55.0
2020,2,0.0,35.0,0.0,2.309,1.3286,1507069.0,54.0
2020,3,0.0,45.0,0.0,2.036,1.396,1435200.0,52.0
2020,4,1.0,53.0,0.0,1.542,1.4048,1225476.0,35.0
2020,5,5.0,66.6,0.0,1.748,1.3972,862254.0,17.0
2020,6,6.0,80.9,5.0,2.014,1.3552,895208.0,12.0
2020,7,6.0,85.0,5.0,2.098,1.3497,1043089.0,12.0
2020,8,1.0,87.4,11.0,2.072,1.3229,1166242.0,12.0
2020,9,1.0,72.8,1.0,2.046,1.323,1224008.0,11.0
2020,10,2.0,49.6,0.0,2.023,1.3218,1244056.0,14.0
2020,11,0.0,48.8,0.0,1.957,1.3073,1226409.0,14.0
2020,12,0.0,40.5,0.0,2.076,1.2809,1191301.0,14.0
2021,1,0.0,35.7,0.0,2.23,1.2725,1147724.0,12.0
2021,2,0.0,22.4,0.0,2.409,1.2696,1083820.0,15.0
2021,3,0.0,52.8,0.0,2.724,1.2569,1109005.0,15.0
2021,4,0.0,56.4,0.0,2.776,1.2494,1121776.0,17.0
2021,5,8.0,66.0,0.0,2.882,1.2125,1129785.0,18.0
2021,6,5.0,83.1,6.0,2.973,1.222,1134758.0,20.0
2021,7,5.0,89.5,18.0,3.035,1.253,1078883.0,23.0
2021,8,4.0,84.5,10.0,3.034,1.2599,1108084.0,28.0
2021,9,1.0,80.4,5.0,3.044,1.2671,1113963.0,27.0
2021,10,3.0,61.3,1.0,3.158,1.2434,1110828.0,29.0
2021,11,0.0,48.8,0.0,3.211,1.2567,1158553.0,33.0
2021,12,1.0,29.5,0.0,3.068,1.28,1137446.0,32.0
2022,1,0.0,30.9,0.0,3.112,1.2622,1091931.0,31.0
2022,2,0.0,30.8,0.0,3.357,1.2711,1095503.0,34.0
2022,3,0.0,43.7,0.0,4.024,1.266,1129936.0,34.0
2022,4,2.0,43.6,0.0,3.915,1.2628,908697.0,38.0
2022,5,6.0,64.1,0.0,4.26,1.2859,1062228.0,40.0
2022,6,6.0,74.5,2.0,4.879,1.2804,1099366.0,42.0
2022,7,7.0,84.7,8.0,4.496,1.2936,1073624.0,45.0
2022,8,3.0,86.8,16.0,3.809,1.2917,1075801.0,46.0
2022,9,0.0,77.1,4.0,3.59,1.3339,1126138.0,45.0
2022,10,0.0,59.9,0.0,3.744,1.3689,1122122.0,43.0
2022,11,0.0,31.2,0.0,3.586,1.3457,1098415.0,40.0
2022,12,0.0,18.3,0.0,3.014,1.3585,957864.0,44.0
2023,1,0.0,26.5,0.0,3.217,1.3422,1062924.0,46.0
2023,2,0.0,30.4,0.0,3.231,1.3454,1158988.0,46.0
2023,3,0.0,25.4,0.0,3.27,1.3683,1124917.0,45.0
2023,4,0.0,49.7,0.0,3.512,1.3484,1135872.0,45.0
2023,5,5.0,72.2,0.0,3.454,1.3517,1140253.0,43.0
2023,6,6.0,79.6,2.0,3.471,1.3286,1174603.0,37.0
2023,7,3.0,81.2,5.0,3.436,1.3211,1187084.0,37.0
2023,8,5.0,81.1,5.0,3.701,1.3478,1219832.0,37.0
2023,9,4.0,74.5,2.0,3.665,1.3531,1290356.0,33.0
2023,10,3.0,53.8,0.0,3.371,1.3712,1255517.0,36.0
2023,11,0.0,46.3,0.0,3.138,1.3707,1279103.0,36.0
2023,12,1.0,41.3,0.0,2.887,1.3416,1275004.0,36.0
2024,1,0.0,26.2,0.0,2.829,1.3423,1105208.0,38.0
2024,2,0.0,38.0,0.0,3.044,1.35,1256126.0,38.0
2024,3,0.0,36.5,0.0,3.318,1.3536,1231474.0,40.0
2024,4,2.0,58.1,0.0,3.441,1.3674,1243018.0,38.0
2024,5,8.0,66.8,0.0,3.43,1.3667,1198803.0,37.0
2024,6,7.0,75.2,0.0,3.312,1.3705,1186409.0,37.0
2024,7,5.0,86.4,8.0,3.411,1.3714,1169457.0,39.0
2024,8,6.0,81.1,3.0,3.338,1.3655,1176696.0,38.0
2024,9,1.0,83.2,6.0,3.091,1.3546,1203157.0,38.0
2024,10,0.0,66.4,0.0,3.016,1.3757,1180995.0,39.0
2024,11,1.0,40.2,0.0,2.888,1.3973,1225297.0,37.0
2024,12,0.0,34.2,0.0,2.881,1.4247,1191291.0,36.0
2025,1,0.0,23.6,0.0,2.942,1.4389,1183077.0,33.0
2025,2,1.0,17.6,0.0,2.956,1.4299,1165229.0,33.0
2025,3,1.0,50.4,0.0,2.954,1.4356,1195030.0,32.0
2025,4,4.0,55.8,0.0,3.029,1.3981,1175943.0,32.0
2025,5,6.0,67.4,3.0,3.012,1.3867,1127014.0,32.0
2025,6,5.0,74.6,0.0,3.019,1.3668,1172718.0,32.0
2025,7,10.0,80.1,3.0,3.004,1.3691,1184124.0,29.0
2025,8,2.0,79.7,2.0,3.028,1.3797,1175328.0,29.0
2025,9,0.0,77.7,0.0,3.012,1.3834,1172197.0,27.0
2025,10,7.0,60.6,1.0,2.856,1.3988,1178172.0,28.0
2025,11,0.0,43.9,0.0,2.876,1.4056,1198143.0,28.0
2025,12,2.0,31.2,0.0,2.672,1.3795,1121660.0,27.0
2026,1,0.0,27.7,0.0,2.633,1.3771,1130651.0,26.0
2026,2,0.0,40.0,0.0,2.674,1.3648,1133601.0,26.0
2026,3,1.0,49.1,0.0,3.371,1.372,1142966.0,25.0
2026,4,2.0,52.8,0.0,3.832,1.3754,1141984.0,26.0
2026,5,4.0,68.8,1.0,4.389,1.3717,1125278.0,26.0
2026,6,8.0,74.2,2.0,3.858,1.4034,1154795.0,26.0
2026,7,1.0,90.9,15.0,3.714,1.4105,1156641.0,24.0
2026,8,2.0,84.4,4.0,3.893,1.3902,,
2026,9,,,,3.992,1.3828,,
