year,quarter,dest,origin,origin_state,origin_city_market_id,passengers_sampled,passengers_est,round_trip_share
2023,1,BIS,AZA,AZ,30466,274.0,2740,0.507
2023,1,BIS,MSP,MN,31650,190.0,1900,0.842
2023,1,BIS,DEN,CO,30325,147.0,1470,0.789
2023,1,BIS,LAS,NV,32211,126.0,1260,0.262
2023,1,BIS,DFW,TX,30194,71.0,710,0.465
2023,1,BIS,ORD,IL,30977,49.0,490,0.776
2023,1,BIS,IAH,TX,31453,46.0,460,0.717
2023,1,BIS,SLC,UT,34614,45.0,450,0.444
2023,1,BIS,SFB,FL,34761,41.0,410,0.293
2023,1,BIS,MCI,MO,33198,37.0,370,0.622
2023,1,BIS,MCO,FL,31454,37.0,370,0.216
2023,1,BIS,PHX,AZ,30466,31.0,310,0.129
2023,1,BIS,ATL,GA,30397,29.0,290,0.621
2023,1,BIS,DTW,MI,31295,28.0,280,0.75
2023,1,BIS,SEA,WA,30559,26.0,260,0.808
2023,1,BIS,STL,MO,31123,25.0,250,0.68
2023,1,BIS,LAX,CA,32575,23.0,230,0.522
2023,1,BIS,RSW,FL,31714,23.0,230,0.348
2023,1,BIS,SAT,TX,33214,22.0,220,0.5
2023,1,BIS,CLT,NC,31057,20.0,200,0.4
2023,1,BIS,MSY,LA,33495,19.0,190,0.105
2023,1,BIS,OMA,NE,33316,19.0,190,0.895
2023,1,BIS,TPA,FL,33195,19.0,190,0.421
2023,1,BIS,PDX,OR,34057,17.0,170,0.588
2023,1,BIS,SMF,CA,33192,17.0,170,0.647
2023,1,BIS,AUS,TX,30423,16.0,160,0.438
2023,1,BIS,BOS,MA,30721,16.0,160,0.688
2023,1,BIS,DCA,VA,30852,16.0,160,0.562
2023,1,BIS,IAD,VA,30852,16.0,160,0.562
2023,1,BIS,LGA,NY,31703,16.0,160,0.438
2023,1,BIS,SAN,CA,33570,16.0,160,0.688
2023,1,BIS,BNA,TN,30693,15.0,150,0.4
2023,1,BIS,GEG,WA,31884,15.0,150,0.867
2023,1,BIS,CMH,OH,31066,14.0,140,0.571
2023,1,BIS,MKE,WI,33342,14.0,140,0.571
2023,1,BIS,SFO,CA,32457,13.0,130,0.846
2023,1,BIS,FLL,FL,32467,12.0,120,0.333
2023,1,BIS,IND,IN,32337,12.0,120,0.583
2023,1,BIS,RDU,NC,34492,12.0,120,0.667
2023,1,BIS,GRR,MI,31986,11.0,110,0.455
2023,1,BIS,PIT,PA,30198,11.0,110,0.636
2023,1,BIS,SJU,PR,34819,11.0,110,0.0
2023,1,BIS,ANC,AK,30299,10.0,100,0.7
2023,1,BIS,BWI,MD,30852,10.0,100,0.4
2023,1,BIS,CID,IA,31003,10.0,100,0.7
2023,1,BIS,EWR,NJ,31703,10.0,100,0.5
2023,1,BIS,LFT,LA,32951,10.0,100,0.2
2023,1,BIS,MSN,WI,33485,10.0,100,0.7
2023,1,BIS,MEM,TN,33244,9.0,90,0.556
2023,1,BIS,PHL,PA,34100,9.0,90,0.778
2023,1,BIS,SNA,CA,32575,9.0,90,0.444
2023,1,BIS,TUL,OK,34653,9.0,90,0.444
2023,1,BIS,TUS,AZ,30436,9.0,90,0.667
2023,1,BIS,BOI,ID,30713,8.0,80,0.75
2023,1,BIS,CVG,KY,33105,8.0,80,0.625
2023,1,BIS,HNL,HI,32134,8.0,80,0.125
2023,1,BIS,MIA,FL,32467,8.0,80,0.0
2023,1,BIS,PSP,CA,34262,8.0,80,0.5
2023,1,BIS,XNA,AR,31834,8.0,80,0.5
2023,1,BIS,ABQ,NM,30140,7.0,70,0.571
2023,1,BIS,ELP,TX,30615,7.0,70,0.571
2023,1,BIS,FSD,SD,31775,7.0,70,0.571
2023,1,BIS,ONT,CA,32575,7.0,70,0.714
2023,1,BIS,SGF,MO,34783,7.0,70,0.857
2023,1,BIS,BZN,MT,30849,6.0,60,0.167
2023,1,BIS,CLE,OH,30647,6.0,60,0.833
