city,county,dist_type,payment_date,year,month,amount
Beach,Golden Valley,City Sales Tax,2019-01-23,2019,1,10891.52
Beach,Golden Valley,City Sales Tax,2019-02-22,2019,2,11124.05
Beach,Golden Valley,City Sales Tax,2019-03-21,2019,3,9284.9
Beach,Golden Valley,City Sales Tax,2019-04-22,2019,4,6882.72
Beach,Golden Valley,City Sales Tax,2019-05-21,2019,5,9810.01
Beach,Golden Valley,City Sales Tax,2019-06-21,2019,6,9007.85
Beach,Golden Valley,City Sales Tax,2019-07-22,2019,7,7262.1
Beach,Golden Valley,City Sales Tax,2019-08-21,2019,8,13340.22
Beach,Golden Valley,City Sales Tax,2019-09-23,2019,9,13295.99
Beach,Golden Valley,City Sales Tax,2019-10-21,2019,10,10093.72
Beach,Golden Valley,City Sales Tax,2019-11-22,2019,11,12107.67
Beach,Golden Valley,City Sales Tax,2019-12-20,2019,12,12384.6
Beach,Golden Valley,City Sales Tax,2020-01-23,2020,1,10618.1
Beach,Golden Valley,City Sales Tax,2020-02-24,2020,2,12534.83
Beach,Golden Valley,City Sales Tax,2020-03-20,2020,3,8235.32
Beach,Golden Valley,City Sales Tax,2020-04-22,2020,4,8582.42
Beach,Golden Valley,City Sales Tax,2020-05-21,2020,5,11239.72
Beach,Golden Valley,City Sales Tax,2020-06-19,2020,6,9508.08
Beach,Golden Valley,City Sales Tax,2020-07-22,2020,7,11384.98
Beach,Golden Valley,City Sales Tax,2020-08-21,2020,8,12149.81
Beach,Golden Valley,City Sales Tax,2020-09-22,2020,9,15200.41
Beach,Golden Valley,City Sales Tax,2020-10-21,2020,10,9890.83
Beach,Golden Valley,City Sales Tax,2020-11-23,2020,11,14659.54
Beach,Golden Valley,City Sales Tax,2020-12-21,2020,12,14190.87
Beach,Golden Valley,City Sales Tax,2021-01-25,2021,1,11463.36
Beach,Golden Valley,City Sales Tax,2021-02-22,2021,2,11936.13
Beach,Golden Valley,City Sales Tax,2021-03-19,2021,3,9222.43
Beach,Golden Valley,City Sales Tax,2021-04-22,2021,4,12481.01
Beach,Golden Valley,City Sales Tax,2021-05-21,2021,5,14353.91
Beach,Golden Valley,City Sales Tax,2021-06-21,2021,6,11337.53
Beach,Golden Valley,City Sales Tax,2021-07-22,2021,7,13467.35
Beach,Golden Valley,City Sales Tax,2021-08-20,2021,8,13840.91
Beach,Golden Valley,City Sales Tax,2021-09-22,2021,9,12451.76
Beach,Golden Valley,City Sales Tax,2021-10-21,2021,10,12439.55
Beach,Golden Valley,City Sales Tax,2021-11-22,2021,11,14168.52
Beach,Golden Valley,City Sales Tax,2021-12-21,2021,12,13045.17
Beach,Golden Valley,City Sales Tax,2022-01-24,2022,1,10599.79
Beach,Golden Valley,City Sales Tax,2022-02-22,2022,2,13775.84
Beach,Golden Valley,City Sales Tax,2022-03-21,2022,3,12628.9
Beach,Golden Valley,City Sales Tax,2022-04-22,2022,4,9239.6
Beach,Golden Valley,City Sales Tax,2022-05-20,2022,5,8791.2
Beach,Golden Valley,City Sales Tax,2022-06-21,2022,6,11947.39
Beach,Golden Valley,City Sales Tax,2022-07-22,2022,7,11239.77
Beach,Golden Valley,City Sales Tax,2022-08-19,2022,8,10864.15
Beach,Golden Valley,City Sales Tax,2022-09-22,2022,9,15427.45
Beach,Golden Valley,City Sales Tax,2022-10-21,2022,10,13695.97
Beach,Golden Valley,City Sales Tax,2022-11-22,2022,11,12895.69
Beach,Golden Valley,City Sales Tax,2022-12-21,2022,12,13852.88
Beach,Golden Valley,City Sales Tax,2023-01-24,2023,1,14562.84
Beach,Golden Valley,City Sales Tax,2023-02-22,2023,2,17181.1
Beach,Golden Valley,City Sales Tax,2023-03-21,2023,3,22359.97
Beach,Golden Valley,City Sales Tax,2023-04-24,2023,4,18176.91
Beach,Golden Valley,City Sales Tax,2023-05-19,2023,5,17092.61
Beach,Golden Valley,City Sales Tax,2023-06-22,2023,6,18872.27
Beach,Golden Valley,City Sales Tax,2023-07-24,2023,7,27036.03
Beach,Golden Valley,City Sales Tax,2023-08-21,2023,8,38246.24
Beach,Golden Valley,City Sales Tax,2023-09-22,2023,9,35391.91
Beach,Golden Valley,City Sales Tax,2023-10-20,2023,10,21588.79
Beach,Golden Valley,City Sales Tax,2023-11-22,2023,11,86613.23
Beach,Golden Valley,City Sales Tax,2023-12-21,2023,12,102956.05
Beach,Golden Valley,City Sales Tax,2024-01-23,2024,1,105412.89
Beach,Golden Valley,City Sales Tax,2024-02-22,2024,2,124620.74
Beach,Golden Valley,City Sales Tax,2024-04-19,2024,4,20300.07
Beach,Golden Valley,City Sales Tax,2024-05-21,2024,5,43123.97
Beach,Golden Valley,City Sales Tax,2024-06-24,2024,6,34404.99
Beach,Golden Valley,City Sales Tax,2024-07-22,2024,7,25173.31
Beach,Golden Valley,City Sales Tax,2024-08-21,2024,8,39584.39
Beach,Golden Valley,City Sales Tax,2024-09-23,2024,9,31909.69
Beach,Golden Valley,City Sales Tax,2024-10-21,2024,10,40062.26
Beach,Golden Valley,City Sales Tax,2024-11-22,2024,11,63455.93
Beach,Golden Valley,City Sales Tax,2024-12-20,2024,12,27991.01
Beach,Golden Valley,City Sales Tax,2025-01-23,2025,1,42661.23
Beach,Golden Valley,City Sales Tax,2025-02-24,2025,2,50204.71
Beach,Golden Valley,City Sales Tax,2025-03-21,2025,3,24409.57
Beach,Golden Valley,City Sales Tax,2025-04-22,2025,4,25142.21
Beach,Golden Valley,City Sales Tax,2025-05-21,2025,5,27772.25
Beach,Golden Valley,City Sales Tax,2025-06-20,2025,6,33023.75
Beach,Golden Valley,City Sales Tax,2025-07-22,2025,7,30794.71
Beach,Golden Valley,City Sales Tax,2025-08-21,2025,8,29650.58
Beach,Golden Valley,City Sales Tax,2025-09-22,2025,9,43593.22
Beach,Golden Valley,City Sales Tax,2025-10-21,2025,10,27051.86
Beach,Golden Valley,City Sales Tax,2025-11-24,2025,11,46375.4
Beach,Golden Valley,City Sales Tax,2025-12-19,2025,12,20641.13
Beach,Golden Valley,City Sales Tax,2026-01-23,2026,1,39023.99
Beach,Golden Valley,City Sales Tax,2026-02-23,2026,2,34692.84
Beach,Golden Valley,City Sales Tax,2026-03-20,2026,3,12229.05
Beach,Golden Valley,City Sales Tax,2026-04-22,2026,4,26923.28
Beach,Golden Valley,City Sales Tax,2026-05-21,2026,5,26903.23
Beach,Golden Valley,City Sales Tax,2026-06-22,2026,6,31651.7
Beach,Golden Valley,City Sales Tax,2026-07-22,2026,7,22695.02
Beach,Golden Valley,City Sales Tax,2026-08-21,2026,8,42781.32
Beach,Golden Valley,City/County Occupancy,2019-02-22,2019,2,1044.2
Beach,Golden Valley,City/County Occupancy,2019-05-21,2019,5,243.57
Beach,Golden Valley,City/County Occupancy,2019-06-21,2019,6,3.88
Beach,Golden Valley,City/County Occupancy,2019-08-21,2019,8,577.13
Beach,Golden Valley,City/County Occupancy,2019-09-23,2019,9,9.89
Beach,Golden Valley,City/County Occupancy,2019-11-22,2019,11,923.44
