county,year,quarter,taxable_sales,taxable_purchases,total
Adams,2019,1,4207999,349585,4557584
Adams,2019,2,5246186,683332,5929518
Adams,2019,3,5056157,820384,5876541
Adams,2019,4,4712582,379307,5091889
Adams,2020,1,3861954,544941,4406895
Adams,2020,2,5149703,264878,5414581
Adams,2020,3,4656767,148554,4805321
Adams,2020,4,5388721,304129,5692850
Adams,2021,1,3478071,259881,3737952
Adams,2021,2,5323992,97751,5421743
Adams,2021,3,4977640,400367,5378007
Adams,2021,4,5777597,383456,6161053
Adams,2022,1,4122646,443770,4566416
Adams,2022,2,5616502,287884,5904386
Adams,2022,3,5403553,471528,5875081
Adams,2022,4,7545708,178028,7723736
Adams,2023,1,4620315,517147,5137462
Adams,2023,2,7303052,96188,7399240
Adams,2023,3,8106526,509218,8615744
Adams,2023,4,6366428,282989,6649417
Adams,2024,1,5143232,551658,5694890
Adams,2024,2,6698024,526802,7224826
Adams,2024,3,6037648,646576,6684224
Adams,2024,4,6471303,556536,7027839
Adams,2025,1,4852472,400772,5253244
Adams,2025,2,6463651,551439,7015090
Adams,2025,3,7057264,281776,7339040
Adams,2025,4,6598247,266313,6864560
Adams,2026,1,4708379,627113,5335492
Adams,2026,2,6401847,756593,7158440
Barnes,2019,1,12174851,1606184,13781035
Barnes,2019,2,18148042,1904096,20052138
Barnes,2019,3,18133277,2558683,20691960
Barnes,2019,4,15934983,2521446,18456429
Barnes,2020,1,12650459,1016749,13667208
Barnes,2020,2,16263780,1404138,17667918
Barnes,2020,3,17391526,1942326,19333852
Barnes,2020,4,15769119,3124930,18894049
Barnes,2021,1,15686538,1693135,17379673
Barnes,2021,2,21358535,2090672,23449207
Barnes,2021,3,20916081,2433393,23349474
Barnes,2021,4,22530226,2121747,24651973
Barnes,2022,1,16920427,1550907,18471334
Barnes,2022,2,20842765,2058856,22901621
Barnes,2022,3,23490546,3588525,27079071
Barnes,2022,4,20878485,2780709,23659194
Barnes,2023,1,18315481,1812277,20127758
Barnes,2023,2,23221379,2144819,25366198
Barnes,2023,3,24685362,2085889,26771251
Barnes,2023,4,20120200,2608668,22728868
Barnes,2024,1,17343413,2419875,19763288
Barnes,2024,2,22527660,2410667,24938327
Barnes,2024,3,22383791,2332400,24716191
Barnes,2024,4,19823269,2722400,22545669
Barnes,2025,1,16765849,2637519,19403368
Barnes,2025,2,22783601,2616889,25400490
Barnes,2025,3,23367685,4399475,27767160
Barnes,2025,4,21197942,2410125,23608067
Barnes,2026,1,17132664,1812745,18945409
Barnes,2026,2,21948849,1846449,23795298
Benson,2019,1,1930178,3694,1933872
Benson,2019,2,3732896,400266,4133162
Benson,2019,3,3252494,143274,3395768
Benson,2019,4,3158883,13093,3171976
Benson,2020,1,3241464,16177,3257641
Benson,2020,2,4745124,77281,4822405
Benson,2020,3,3561241,15981,3577222
Benson,2020,4,5148835,9011,5157846
Benson,2021,1,2769501,7149,2776650
Benson,2021,2,3998635,8214,4006849
Benson,2021,3,4122376,26083,4148459
Benson,2021,4,4961153,222626,5183779
Benson,2022,1,2995242,9567,3004809
Benson,2022,2,4815041,25663,4840704
Benson,2022,3,4922459,17726,4940185
Benson,2022,4,5207202,25954,5233156
Benson,2023,1,3063126,8932,3072058
Benson,2023,2,5090691,70425,5161116
Benson,2023,3,4668724,10175,4678899
Benson,2023,4,6514491,22458,6536949
Benson,2024,1,3990986,1283,3992269
Benson,2024,2,3729953,67633,3797586
Benson,2024,3,3258061,3542,3261603
Benson,2024,4,3350278,85148,3435426
Benson,2025,1,2612494,13583,2626077
Benson,2025,2,3500077,1184,3501261
Benson,2025,3,4097220,37782,4135002
Benson,2025,4,3536633,763,3537396
Benson,2026,1,2487682,63320,2551002
Benson,2026,2,3742793,0,3742793
Billings,2019,1,431685,131555,563240
Billings,2019,2,6973860,285972,7259832
Billings,2019,3,17744040,438388,18182428
Billings,2019,4,1837276,899112,2736388
Billings,2020,1,424576,50220,474796
Billings,2020,2,3845571,1240912,5086483
Billings,2020,3,17015062,409800,17424862
Billings,2020,4,1674419,499810,2174229
Billings,2021,1,736502,14524,751026
Billings,2021,2,8526086,424007,8950093
Billings,2021,3,22038165,68461,22106626
Billings,2021,4,3011034,203774,3214808
Billings,2022,1,836126,23353,859479
Billings,2022,2,8289521,459064,8748585
Billings,2022,3,22973055,-291508,22681547
Billings,2022,4,3400894,233205,3634099
Billings,2023,1,1191356,517698,1709054
Billings,2023,2,10707450,661576,11369026
Billings,2023,3,21639999,413899,22053898
Billings,2023,4,3266561,1143069,4409630
Billings,2024,1,1427673,1482161,2909834
Billings,2024,2,11305332,416403,11721735
Billings,2024,3,22109641,2008475,24118116
Billings,2024,4,4017239,791633,4808872
Billings,2025,1,1542994,34972,1577966
Billings,2025,2,11885461,1247400,13132861
Billings,2025,3,23497446,2567715,26065161
Billings,2025,4,4086489,450140,4536629
Billings,2026,1,2174256,77923,2252179
Billings,2026,2,13297174,588522,13885696
Bottineau,2019,1,18474216,223944,18698160
Bottineau,2019,2,22644431,343735,22988166
Bottineau,2019,3,25273732,207956,25481688
Bottineau,2019,4,23937362,413637,24350999
Bottineau,2020,1,18036809,282134,18318943
Bottineau,2020,2,17373923,259622,17633545
Bottineau,2020,3,17129982,233117,17363099
Bottineau,2020,4,19278885,231307,19510192
Bottineau,2021,1,15205366,432707,15638073
Bottineau,2021,2,19675884,139942,19815826
Bottineau,2021,3,20662344,226589,20888933
Bottineau,2021,4,21070865,406250,21477115
Bottineau,2022,1,15082958,264099,15347057
Bottineau,2022,2,22683603,386113,23069716
Bottineau,2022,3,26407960,314661,26722621
Bottineau,2022,4,24039588,831306,24870894
Bottineau,2023,1,19787574,306049,20093623
Bottineau,2023,2,24681416,472144,25153560
Bottineau,2023,3,28047686,138778,28186464
Bottineau,2023,4,24420467,334492,24754959
Bottineau,2024,1,24877423,297890,25175313
Bottineau,2024,2,26872914,325038,27197952
Bottineau,2024,3,34098221,1163039,35261260
Bottineau,2024,4,31616911,524506,32141417
Bottineau,2025,1,18468274,516692,18984966
Bottineau,2025,2,33032719,1095022,34127741
Bottineau,2025,3,28748623,656672,29405295
Bottineau,2025,4,27668019,749142,28417161
Bottineau,2026,1,24499548,435526,24935074
Bottineau,2026,2,27605408,403069,28008477
Bowman,2019,1,7510428,894401,8404829
Bowman,2019,2,11053573,1079384,12132957
Bowman,2019,3,9972427,990742,10963169
Bowman,2019,4,8319762,1436828,9756590
Bowman,2020,1,6757716,817150,7574866
Bowman,2020,2,7184242,925663,8109905
Bowman,2020,3,8769902,921943,9691845
Bowman,2020,4,10340977,1059959,11400936
Bowman,2021,1,7051048,808950,7859998
Bowman,2021,2,10641244,1025263,11666507
Bowman,2021,3,9119906,1472578,10592484
Bowman,2021,4,10248488,1373025,11621513
Bowman,2022,1,6665652,1354855,8020507
Bowman,2022,2,9253652,916886,10170538
Bowman,2022,3,12764512,1339818,14104330
Bowman,2022,4,11968739,1083101,13051840
Bowman,2023,1,7226571,861890,8088461
Bowman,2023,2,11193138,750887,11944025
Bowman,2023,3,11193710,1099179,12292889
Bowman,2023,4,11720270,1404421,13124691
Bowman,2024,1,9289224,736701,10025925
Bowman,2024,2,11827037,1321760,13148797
Bowman,2024,3,11812673,4046108,15858781
Bowman,2024,4,14799766,3031123,17830889
Bowman,2025,1,7772314,3691652,11463966
Bowman,2025,2,11282979,4137726,15420705
Bowman,2025,3,12667068,4078182,16745250
Bowman,2025,4,14409678,3036290,17445968
Bowman,2026,1,10052730,1485512,11538242
Bowman,2026,2,11747051,1151762,12898813
Burke,2019,1,2823717,4614498,7438215
Burke,2019,2,3517249,4796346,8313595
Burke,2019,3,3713156,3179338,6892494
Burke,2019,4,3765294,848615,4613909
Burke,2020,1,2747944,423197,3171141
Burke,2020,2,2545384,261595,2806979
Burke,2020,3,3536418,32904,3569322
