county,year,spending_musd,edition
Adams,2020,6.3,2024
Adams,2021,6.4,2025
Adams,2022,7.2,2025
Adams,2023,5.8,2025
Adams,2024,6.4,2025
Adams,2025,6.5,2025
Barnes,2020,20.8,2024
Barnes,2021,24.2,2025
Barnes,2022,26.6,2025
Barnes,2023,29.3,2025
Barnes,2024,31.1,2025
Barnes,2025,31.7,2025
Benson,2020,8.7,2024
Benson,2021,10.4,2025
Benson,2022,12.1,2025
Benson,2023,13.1,2025
Benson,2024,13.7,2025
Benson,2025,13.6,2025
Billings,2020,12.3,2024
Billings,2021,16.2,2025
Billings,2022,21.5,2025
Billings,2023,24.1,2025
Billings,2024,25.3,2025
Billings,2025,26.2,2025
Bottineau,2020,15.6,2024
Bottineau,2021,16.8,2025
Bottineau,2022,17.9,2025
Bottineau,2023,20.2,2025
Bottineau,2024,20.9,2025
Bottineau,2025,19.0,2025
Bowman,2020,6.5,2024
Bowman,2021,7.6,2025
Bowman,2022,8.3,2025
Bowman,2023,10.3,2025
Bowman,2024,10.5,2025
Bowman,2025,10.7,2025
Burke,2020,1.7,2024
Burke,2021,1.9,2025
Burke,2022,2.3,2025
Burke,2023,2.6,2025
Burke,2024,2.8,2025
Burke,2025,2.9,2025
Burleigh,2020,344.2,2024
Burleigh,2021,442.4,2025
Burleigh,2022,496.3,2025
Burleigh,2023,514.7,2025
Burleigh,2024,537.4,2025
Burleigh,2025,533.7,2025
Cass,2020,586.8,2024
Cass,2021,827.5,2025
Cass,2022,1001.4,2025
Cass,2023,1098.2,2025
Cass,2024,1122.1,2025
Cass,2025,1080.5,2025
Cavalier,2020,3.4,2024
Cavalier,2021,4.3,2025
Cavalier,2022,5.0,2025
Cavalier,2023,5.0,2025
Cavalier,2024,5.1,2025
Cavalier,2025,5.0,2025
Dickey,2020,4.8,2024
Dickey,2021,5.2,2025
Dickey,2022,5.4,2025
Dickey,2023,5.8,2025
Dickey,2024,6.2,2025
Dickey,2025,6.8,2025
Divide,2020,2.7,2024
Divide,2021,3.4,2025
Divide,2022,4.0,2025
Divide,2023,4.2,2025
Divide,2024,4.3,2025
Divide,2025,4.0,2025
Dunn,2020,13.6,2024
Dunn,2021,18.2,2025
Dunn,2022,20.7,2025
Dunn,2023,21.0,2025
Dunn,2024,19.5,2025
Dunn,2025,17.7,2025
Eddy,2020,1.1,2024
Eddy,2021,1.5,2025
Eddy,2022,1.6,2025
Eddy,2023,1.6,2025
Eddy,2024,1.5,2025
Eddy,2025,1.4,2025
Emmons,2020,2.5,2024
Emmons,2021,3.0,2025
Emmons,2022,4.2,2025
Emmons,2023,4.5,2025
Emmons,2024,4.6,2025
Emmons,2025,4.6,2025
Foster,2020,9.9,2024
Foster,2021,11.1,2025
Foster,2022,12.2,2025
Foster,2023,12.6,2025
Foster,2024,12.1,2025
Foster,2025,10.8,2025
Golden Valley,2020,1.7,2024
Golden Valley,2021,2.0,2025
Golden Valley,2022,2.2,2025
Golden Valley,2023,2.6,2025
Golden Valley,2024,2.6,2025
Golden Valley,2025,2.7,2025
Grand Forks,2020,186.7,2024
Grand Forks,2021,226.9,2025
Grand Forks,2022,285.0,2025
Grand Forks,2023,310.2,2025
Grand Forks,2024,333.5,2025
Grand Forks,2025,340.1,2025
Grant,2020,1.6,2024
Grant,2021,1.9,2025
Grant,2022,2.4,2025
Grant,2023,2.5,2025
Grant,2024,2.7,2025
Grant,2025,2.8,2025
Griggs,2020,1.6,2024
Griggs,2021,1.8,2025
Griggs,2022,2.1,2025
Griggs,2023,2.2,2025
Griggs,2024,2.2,2025
Griggs,2025,1.9,2025
Hettinger,2020,2.6,2024
Hettinger,2021,3.0,2025
Hettinger,2022,3.4,2025
Hettinger,2023,3.8,2025
Hettinger,2024,4.0,2025
Hettinger,2025,4.3,2025
Kidder,2020,4.0,2024
Kidder,2021,4.6,2025
Kidder,2022,4.9,2025
Kidder,2023,4.9,2025
Kidder,2024,4.6,2025
Kidder,2025,4.9,2025
LaMoure,2020,3.0,2024
LaMoure,2021,3.5,2025
LaMoure,2022,3.9,2025
LaMoure,2023,4.4,2025
LaMoure,2024,4.8,2025
LaMoure,2025,4.7,2025
Logan,2020,1.0,2024
Logan,2021,1.3,2025
Logan,2022,1.5,2025
Logan,2023,1.6,2025
Logan,2024,1.6,2025
Logan,2025,1.6,2025
McHenry,2020,2.6,2024
McHenry,2021,3.3,2025
McHenry,2022,3.9,2025
McHenry,2023,4.5,2025
McHenry,2024,4.5,2025
McHenry,2025,4.6,2025
McIntosh,2020,3.5,2024
McIntosh,2021,3.8,2025
McIntosh,2022,4.3,2025
McIntosh,2023,4.8,2025
McIntosh,2024,5.1,2025
McIntosh,2025,4.5,2025
McKenzie,2020,65.9,2024
McKenzie,2021,63.0,2025
McKenzie,2022,71.4,2025
McKenzie,2023,79.7,2025
McKenzie,2024,79.1,2025
McKenzie,2025,77.4,2025
McLean,2020,11.9,2024
McLean,2021,13.6,2025
McLean,2022,14.2,2025
McLean,2023,16.2,2025
McLean,2024,17.4,2025
McLean,2025,17.0,2025
Mercer,2020,15.2,2024
Mercer,2021,20.3,2025
Mercer,2022,20.7,2025
Mercer,2023,24.6,2025
Mercer,2024,26.0,2025
Mercer,2025,24.3,2025
Morton,2020,32.7,2024
Morton,2021,42.7,2025
Morton,2022,48.8,2025
Morton,2023,48.5,2025
Morton,2024,50.1,2025
Morton,2025,52.8,2025
Mountrail,2020,58.6,2024
Mountrail,2021,59.3,2025
Mountrail,2022,72.6,2025
Mountrail,2023,83.4,2025
Mountrail,2024,80.3,2025
Mountrail,2025,84.9,2025
Nelson,2020,2.7,2024
Nelson,2021,3.3,2025
Nelson,2022,3.9,2025
Nelson,2023,4.4,2025
Nelson,2024,4.8,2025
Nelson,2025,4.3,2025
North Dakota,2020,2113.7,2024
North Dakota,2021,2612.6,2025
North Dakota,2022,3062.7,2025
North Dakota,2023,3332.2,2025
North Dakota,2024,3415.1,2025
North Dakota,2025,3375.8,2025
Oliver,2020,0.6,2024
Oliver,2021,1.4,2025
Oliver,2022,1.4,2025
Oliver,2023,1.4,2025
Oliver,2024,1.3,2025
Oliver,2025,1.4,2025
Pembina,2020,13.1,2024
Pembina,2021,12.6,2025
Pembina,2022,13.7,2025
Pembina,2023,14.4,2025
Pembina,2024,13.6,2025
Pembina,2025,14.0,2025
Pierce,2020,4.5,2024
Pierce,2021,5.4,2025
Pierce,2022,5.5,2025
Pierce,2023,5.5,2025
Pierce,2024,5.6,2025
Pierce,2025,5.5,2025
Ramsey,2020,53.2,2024
Ramsey,2021,57.3,2025
Ramsey,2022,57.9,2025
Ramsey,2023,60.8,2025
Ramsey,2024,64.0,2025
Ramsey,2025,61.1,2025
Ransom,2020,4.9,2024
Ransom,2021,6.0,2025
Ransom,2022,6.4,2025
Ransom,2023,6.2,2025
Ransom,2024,7.3,2025
Ransom,2025,7.2,2025
Renville,2020,1.7,2024
Renville,2021,2.0,2025
Renville,2022,2.0,2025
Renville,2023,1.6,2025
Renville,2024,2.0,2025
Renville,2025,2.1,2025
Richland,2020,25.5,2024
Richland,2021,33.6,2025
Richland,2022,37.4,2025
Richland,2023,40.9,2025
Richland,2024,43.2,2025
Richland,2025,40.4,2025
Rolette,2020,18.4,2024
Rolette,2021,22.1,2025
Rolette,2022,24.0,2025
Rolette,2023,26.3,2025
Rolette,2024,27.1,2025
Rolette,2025,27.4,2025
Sargent,2020,2.5,2024
Sargent,2021,3.0,2025
Sargent,2022,3.1,2025
Sargent,2023,3.3,2025
Sargent,2024,3.3,2025
Sargent,2025,3.5,2025
Sheridan,2020,1.2,2024
Sheridan,2021,1.4,2025
Sheridan,2022,1.6,2025
Sheridan,2023,1.6,2025
Sheridan,2024,1.8,2025
Sheridan,2025,1.7,2025
Sioux,2020,8.9,2024
Sioux,2021,10.9,2025
Sioux,2022,12.1,2025
Sioux,2023,13.4,2025
Sioux,2024,14.2,2025
Sioux,2025,14.5,2025
Slope,2020,0.7,2024
Slope,2021,0.9,2025
Slope,2022,1.0,2025
Slope,2023,0.9,2025
Slope,2024,0.9,2025
Slope,2025,0.9,2025
Stark,2020,92.3,2024
Stark,2021,103.5,2025
Stark,2022,114.9,2025
Stark,2023,127.5,2025
Stark,2024,134.0,2025
Stark,2025,135.9,2025
Steele,2020,1.3,2024
Steele,2021,1.5,2025
Steele,2022,1.7,2025
Steele,2023,1.9,2025
Steele,2024,1.8,2025
Steele,2025,2.0,2025
Stutsman,2020,44.7,2024
Stutsman,2021,55.6,2025
Stutsman,2022,65.3,2025
Stutsman,2023,81.1,2025
Stutsman,2024,80.1,2025
Stutsman,2025,83.3,2025
Towner,2020,2.3,2024
Towner,2021,2.2,2025
Towner,2022,2.0,2025
Towner,2023,2.2,2025
Towner,2024,2.2,2025
Towner,2025,2.1,2025
Traill,2020,3.9,2024
Traill,2021,4.7,2025
Traill,2022,4.7,2025
Traill,2023,5.2,2025
Traill,2024,4.7,2025
Traill,2025,4.5,2025
Walsh,2020,8.6,2024
Walsh,2021,10.1,2025
Walsh,2022,10.8,2025
Walsh,2023,11.7,2025
Walsh,2024,11.9,2025
Walsh,2025,11.6,2025
Ward,2020,217.5,2024
Ward,2021,267.9,2025
Ward,2022,308.7,2025
Ward,2023,320.1,2025
Ward,2024,303.1,2025
Ward,2025,295.6,2025
Wells,2020,5.6,2024
Wells,2021,5.8,2025
Wells,2022,5.7,2025
Wells,2023,5.7,2025
Wells,2024,5.1,2025
Wells,2025,5.3,2025
Williams,2020,166.0,2024
Williams,2021,150.2,2025
