facility,year,state,reservations,fy,share
Buffalo Gap Campground,2021,ND,16,2022,0.2051
Buffalo Gap Campground,2021,MN,7,2021,0.0897
Buffalo Gap Campground,2021,CA,5,2021,0.0641
Buffalo Gap Campground,2021,WI,5,2021,0.0641
Buffalo Gap Campground,2021,FL,3,2021,0.0385
Buffalo Gap Campground,2021,MO,3,2022,0.0385
Buffalo Gap Campground,2021,MT,3,2021,0.0385
Buffalo Gap Campground,2021,NY,3,2021,0.0385
Buffalo Gap Campground,2021,OH,3,2021,0.0385
Buffalo Gap Campground,2021,OR,3,2021,0.0385
Buffalo Gap Campground,2021,TX,3,2021,0.0385
Buffalo Gap Campground,2021,AR,2,2021,0.0256
Buffalo Gap Campground,2021,CO,2,2021,0.0256
Buffalo Gap Campground,2021,GA,2,2021,0.0256
Buffalo Gap Campground,2021,IL,2,2021,0.0256
Buffalo Gap Campground,2021,SD,2,2021,0.0256
Buffalo Gap Campground,2021,VA,2,2021,0.0256
Buffalo Gap Campground,2021,WA,2,2021,0.0256
Buffalo Gap Campground,2021,AZ,1,2021,0.0128
Buffalo Gap Campground,2021,DC,1,2021,0.0128
Buffalo Gap Campground,2021,HI,1,2022,0.0128
Buffalo Gap Campground,2021,IA,1,2021,0.0128
Buffalo Gap Campground,2021,ID,1,2021,0.0128
Buffalo Gap Campground,2021,LA,1,2022,0.0128
Buffalo Gap Campground,2021,MD,1,2021,0.0128
Buffalo Gap Campground,2021,NM,1,2021,0.0128
Buffalo Gap Campground,2021,PA,1,2021,0.0128
Buffalo Gap Campground,2021,SC,1,2021,0.0128
Buffalo Gap Campground,2022,MN,52,2022,0.1229
Buffalo Gap Campground,2022,WI,28,2023,0.0662
Buffalo Gap Campground,2022,FL,22,2022,0.052
Buffalo Gap Campground,2022,CA,21,2022,0.0496
Buffalo Gap Campground,2022,ND,21,2023,0.0496
Buffalo Gap Campground,2022,MI,19,2023,0.0449
Buffalo Gap Campground,2022,OH,18,2023,0.0426
Buffalo Gap Campground,2022,WA,18,2022,0.0426
Buffalo Gap Campground,2022,IL,17,2023,0.0402
Buffalo Gap Campground,2022,PA,14,2023,0.0331
Buffalo Gap Campground,2022,NC,13,2022,0.0307
Buffalo Gap Campground,2022,MT,12,2023,0.0284
Buffalo Gap Campground,2022,OR,12,2022,0.0284
Buffalo Gap Campground,2022,TX,12,2022,0.0284
Buffalo Gap Campground,2022,VA,11,2023,0.026
Buffalo Gap Campground,2022,MD,10,2022,0.0236
Buffalo Gap Campground,2022,MO,10,2022,0.0236
Buffalo Gap Campground,2022,CO,9,2022,0.0213
Buffalo Gap Campground,2022,AZ,8,2022,0.0189
Buffalo Gap Campground,2022,IN,8,2022,0.0189
Buffalo Gap Campground,2022,NY,8,2023,0.0189
Buffalo Gap Campground,2022,NJ,7,2022,0.0165
Buffalo Gap Campground,2022,MA,6,2022,0.0142
Buffalo Gap Campground,2022,NV,6,2022,0.0142
Buffalo Gap Campground,2022,KY,5,2022,0.0118
Buffalo Gap Campground,2022,SD,5,2023,0.0118
Buffalo Gap Campground,2022,TN,5,2022,0.0118
Buffalo Gap Campground,2022,UT,5,2022,0.0118
Buffalo Gap Campground,2022,IA,4,2022,0.0095
Buffalo Gap Campground,2022,NE,4,2022,0.0095
Buffalo Gap Campground,2022,AL,3,2023,0.0071
Buffalo Gap Campground,2022,DC,3,2022,0.0071
Buffalo Gap Campground,2022,ID,3,2022,0.0071
Buffalo Gap Campground,2022,NH,3,2022,0.0071
Buffalo Gap Campground,2022,VT,3,2023,0.0071
Buffalo Gap Campground,2022,WY,3,2022,0.0071
Buffalo Gap Campground,2022,CT,2,2023,0.0047
Buffalo Gap Campground,2022,LA,2,2022,0.0047
Buffalo Gap Campground,2022,ME,2,2022,0.0047
Buffalo Gap Campground,2022,SC,2,2022,0.0047
Buffalo Gap Campground,2022,AA,1,2022,0.0024
Buffalo Gap Campground,2022,AK,1,2022,0.0024
Buffalo Gap Campground,2022,AR,1,2022,0.0024
Buffalo Gap Campground,2022,DE,1,2022,0.0024
Buffalo Gap Campground,2022,NM,1,2022,0.0024
Buffalo Gap Campground,2022,OK,1,2022,0.0024
Buffalo Gap Campground,2022,WV,1,2022,0.0024
Buffalo Gap Campground,2023,MN,75,2023,0.1807
Buffalo Gap Campground,2023,WI,27,2023,0.0651
Buffalo Gap Campground,2023,OH,19,2023,0.0458
Buffalo Gap Campground,2023,CO,18,2023,0.0434
Buffalo Gap Campground,2023,CA,14,2023,0.0337
Buffalo Gap Campground,2023,NC,14,2023,0.0337
Buffalo Gap Campground,2023,OR,14,2023,0.0337
Buffalo Gap Campground,2023,WA,13,2023,0.0313
Buffalo Gap Campground,2023,IL,12,2023,0.0289
Buffalo Gap Campground,2023,MT,12,2023,0.0289
Buffalo Gap Campground,2023,ND,12,2023,0.0289
Buffalo Gap Campground,2023,VA,12,2023,0.0289
Buffalo Gap Campground,2023,TX,11,2023,0.0265
Buffalo Gap Campground,2023,FL,10,2023,0.0241
Buffalo Gap Campground,2023,GA,10,2023,0.0241
Buffalo Gap Campground,2023,MI,10,2023,0.0241
Buffalo Gap Campground,2023,NY,10,2023,0.0241
Buffalo Gap Campground,2023,AZ,9,2023,0.0217
Buffalo Gap Campground,2023,UT,9,2023,0.0217
Buffalo Gap Campground,2023,PA,8,2023,0.0193
Buffalo Gap Campground,2023,MD,7,2023,0.0169
Buffalo Gap Campground,2023,NV,7,2023,0.0169
Buffalo Gap Campground,2023,MA,6,2023,0.0145
Buffalo Gap Campground,2023,MO,6,2023,0.0145
Buffalo Gap Campground,2023,SD,6,2023,0.0145
Buffalo Gap Campground,2023,TN,6,2023,0.0145
Buffalo Gap Campground,2023,IN,5,2023,0.012
Buffalo Gap Campground,2023,NJ,5,2023,0.012
Buffalo Gap Campground,2023,DC,4,2023,0.0096
Buffalo Gap Campground,2023,KY,4,2023,0.0096
Buffalo Gap Campground,2023,ME,4,2023,0.0096
Buffalo Gap Campground,2023,VT,4,2023,0.0096
Buffalo Gap Campground,2023,AK,3,2023,0.0072
Buffalo Gap Campground,2023,IA,3,2023,0.0072
Buffalo Gap Campground,2023,MS,3,2023,0.0072
Buffalo Gap Campground,2023,NE,3,2023,0.0072
Buffalo Gap Campground,2023,NM,3,2023,0.0072
Buffalo Gap Campground,2023,WY,3,2023,0.0072
