article,year,month,views
"Medora,_North_Dakota",2015,7,3497
"Medora,_North_Dakota",2015,8,3485
"Medora,_North_Dakota",2015,9,2342
"Medora,_North_Dakota",2015,10,1974
"Medora,_North_Dakota",2015,11,1778
"Medora,_North_Dakota",2015,12,1591
"Medora,_North_Dakota",2016,1,2241
"Medora,_North_Dakota",2016,2,1905
"Medora,_North_Dakota",2016,3,2057
"Medora,_North_Dakota",2016,4,2144
"Medora,_North_Dakota",2016,5,2902
"Medora,_North_Dakota",2016,6,3577
"Medora,_North_Dakota",2016,7,4038
"Medora,_North_Dakota",2016,8,3536
"Medora,_North_Dakota",2016,9,2417
"Medora,_North_Dakota",2016,10,1685
"Medora,_North_Dakota",2016,11,1549
"Medora,_North_Dakota",2016,12,1512
"Medora,_North_Dakota",2017,1,1969
"Medora,_North_Dakota",2017,2,1747
"Medora,_North_Dakota",2017,3,1909
"Medora,_North_Dakota",2017,4,2009
"Medora,_North_Dakota",2017,5,2963
"Medora,_North_Dakota",2017,6,4121
"Medora,_North_Dakota",2017,7,4803
"Medora,_North_Dakota",2017,8,3901
"Medora,_North_Dakota",2017,9,2106
"Medora,_North_Dakota",2017,10,1470
"Medora,_North_Dakota",2017,11,1259
"Medora,_North_Dakota",2017,12,1328
"Medora,_North_Dakota",2018,1,1583
"Medora,_North_Dakota",2018,2,1362
"Medora,_North_Dakota",2018,3,1625
"Medora,_North_Dakota",2018,4,1698
"Medora,_North_Dakota",2018,5,2101
"Medora,_North_Dakota",2018,6,2756
"Medora,_North_Dakota",2018,7,3699
"Medora,_North_Dakota",2018,8,4492
"Medora,_North_Dakota",2018,9,2019
"Medora,_North_Dakota",2018,10,1493
"Medora,_North_Dakota",2018,11,1354
"Medora,_North_Dakota",2018,12,1396
"Medora,_North_Dakota",2019,1,1820
"Medora,_North_Dakota",2019,2,1614
"Medora,_North_Dakota",2019,3,1771
"Medora,_North_Dakota",2019,4,1952
"Medora,_North_Dakota",2019,5,2568
"Medora,_North_Dakota",2019,6,3585
"Medora,_North_Dakota",2019,7,4348
"Medora,_North_Dakota",2019,8,3978
"Medora,_North_Dakota",2019,9,2373
"Medora,_North_Dakota",2019,10,1881
"Medora,_North_Dakota",2019,11,1424
"Medora,_North_Dakota",2019,12,1528
"Medora,_North_Dakota",2020,1,1978
"Medora,_North_Dakota",2020,2,1774
"Medora,_North_Dakota",2020,3,1683
"Medora,_North_Dakota",2020,4,2005
"Medora,_North_Dakota",2020,5,2331
"Medora,_North_Dakota",2020,6,2915
"Medora,_North_Dakota",2020,7,3912
"Medora,_North_Dakota",2020,8,3722
"Medora,_North_Dakota",2020,9,2466
"Medora,_North_Dakota",2020,10,1704
"Medora,_North_Dakota",2020,11,1715
"Medora,_North_Dakota",2020,12,1665
"Medora,_North_Dakota",2021,1,1669
"Medora,_North_Dakota",2021,2,1644
"Medora,_North_Dakota",2021,3,2126
"Medora,_North_Dakota",2021,4,3392
"Medora,_North_Dakota",2021,5,2685
"Medora,_North_Dakota",2021,6,3359
"Medora,_North_Dakota",2021,7,3593
"Medora,_North_Dakota",2021,8,3334
"Medora,_North_Dakota",2021,9,2300
"Medora,_North_Dakota",2021,10,1475
"Medora,_North_Dakota",2021,11,1538
"Medora,_North_Dakota",2021,12,1282
"Medora,_North_Dakota",2022,1,2388
"Medora,_North_Dakota",2022,2,1399
"Medora,_North_Dakota",2022,3,1430
"Medora,_North_Dakota",2022,4,1622
"Medora,_North_Dakota",2022,5,2296
"Medora,_North_Dakota",2022,6,2836
"Medora,_North_Dakota",2022,7,2982
"Medora,_North_Dakota",2022,8,2836
"Medora,_North_Dakota",2022,9,1900
"Medora,_North_Dakota",2022,10,1417
"Medora,_North_Dakota",2022,11,1206
"Medora,_North_Dakota",2022,12,1332
"Medora,_North_Dakota",2023,1,1772
"Medora,_North_Dakota",2023,2,1582
"Medora,_North_Dakota",2023,3,1676
"Medora,_North_Dakota",2023,4,1668
"Medora,_North_Dakota",2023,5,2747
"Medora,_North_Dakota",2023,6,3556
"Medora,_North_Dakota",2023,7,4501
"Medora,_North_Dakota",2023,8,3821
"Medora,_North_Dakota",2023,9,2509
"Medora,_North_Dakota",2023,10,1728
"Medora,_North_Dakota",2023,11,1605
"Medora,_North_Dakota",2023,12,1515
"Medora,_North_Dakota",2024,1,1940
