year,month,zip,tickets
2026,6,10475,5
2026,6,10747,2
2026,6,11215,8
2026,6,11305,3
2026,6,33217,1
2026,6,55311,2
2026,6,58016,1
2026,6,58104,3
2026,6,58503,4
2026,6,58504,3
2026,6,58554,6
2026,6,58601,64
2026,6,58621,12
2026,6,58623,9
2026,6,58645,12
2026,6,58703,6
2026,6,59101,4
2026,6,59327,4
2026,6,59353,10
2026,6,59602,3
2026,6,59608,1
2026,6,6,2
2026,6,85016,2
2026,6,85061,2
2026,7,00802,1
2026,7,00851,2
2026,7,01036,2
2026,7,01037,2
2026,7,01075,2
2026,7,01095,2
2026,7,01201,1
2026,7,01267,1
2026,7,01450,2
2026,7,01463,2
2026,7,01469,7
2026,7,01535,1
2026,7,01545,2
2026,7,01588,2
2026,7,01701,3
2026,7,01720,4
2026,7,01746,1
2026,7,01748,8
2026,7,01756,2
2026,7,01810,5
2026,7,01845,6
2026,7,01852,2
2026,7,01854,2
2026,7,01864,4
2026,7,01890,3
2026,7,01930,6
2026,7,01944,3
2026,7,01945,2
2026,7,02043,2
2026,7,02052,2
2026,7,02066,2
2026,7,02108,4
2026,7,02124,4
2026,7,02128,3
2026,7,02130,2
2026,7,02131,2
2026,7,02139,2
2026,7,02140,4
2026,7,02155,2
2026,7,02171,4
2026,7,02176,2
2026,7,02465,2
2026,7,02466,3
2026,7,02467,2
2026,7,02472,2
2026,7,02481,1
2026,7,02492,2
2026,7,02536,4
2026,7,02663,1
2026,7,02719,3
2026,7,02760,9
2026,7,02771,2
2026,7,02779,2
2026,7,02790,1
2026,7,02809,3
2026,7,02860,2
2026,7,02865,5
2026,7,02871,6
2026,7,02888,2
2026,7,03031,2
2026,7,03043,3
2026,7,03049,2
2026,7,03053,3
2026,7,03064,2
2026,7,03101,4
2026,7,03110,6
2026,7,03215,2
2026,7,03229,1
2026,7,03301,2
2026,7,03303,4
2026,7,03440,1
2026,7,03442,3
2026,7,03570,1
2026,7,03584,1
2026,7,03748,2
2026,7,03820,4
2026,7,03833,4
2026,7,03855,5
2026,7,03911,4
2026,7,04011,2
2026,7,04043,2
2026,7,04086,2
2026,7,04102,2
2026,7,04105,3
2026,7,04210,4
2026,7,04217,2
2026,7,04353,3
2026,7,04412,2
2026,7,04568,2
2026,7,04864,2
2026,7,04901,1
2026,7,04967,2
2026,7,05089,2
2026,7,05091,2
2026,7,05396,1
2026,7,05445,4
2026,7,05452,2
2026,7,05478,3
2026,7,05495,2
2026,7,05672,3
2026,7,06029,2
2026,7,06069,2
2026,7,06078,5
2026,7,06084,2
2026,7,06110,4
2026,7,06241,2
2026,7,06249,5
