port,state,port_code,date,measure,value
Del Bonita,Montana,3322,2019-04-01,Bus Passengers,9
Del Bonita,Montana,3322,2019-05-01,Bus Passengers,13
Del Bonita,Montana,3322,2019-06-01,Bus Passengers,14
Del Bonita,Montana,3322,2019-07-01,Bus Passengers,15
Del Bonita,Montana,3322,2022-06-01,Bus Passengers,26
Del Bonita,Montana,3322,2026-07-01,Bus Passengers,36
Del Bonita,Montana,3322,2019-04-01,Buses,1
Del Bonita,Montana,3322,2019-05-01,Buses,1
Del Bonita,Montana,3322,2019-06-01,Buses,1
Del Bonita,Montana,3322,2019-07-01,Buses,1
Del Bonita,Montana,3322,2022-06-01,Buses,1
Del Bonita,Montana,3322,2026-07-01,Buses,2
Del Bonita,Montana,3322,2019-01-01,Personal Vehicle Passengers,3115
Del Bonita,Montana,3322,2019-02-01,Personal Vehicle Passengers,3553
Del Bonita,Montana,3322,2019-03-01,Personal Vehicle Passengers,3206
Del Bonita,Montana,3322,2019-04-01,Personal Vehicle Passengers,3588
Del Bonita,Montana,3322,2019-05-01,Personal Vehicle Passengers,4326
Del Bonita,Montana,3322,2019-06-01,Personal Vehicle Passengers,5441
Del Bonita,Montana,3322,2019-07-01,Personal Vehicle Passengers,8485
Del Bonita,Montana,3322,2019-08-01,Personal Vehicle Passengers,9173
Del Bonita,Montana,3322,2019-09-01,Personal Vehicle Passengers,2863
Del Bonita,Montana,3322,2019-10-01,Personal Vehicle Passengers,3043
Del Bonita,Montana,3322,2019-11-01,Personal Vehicle Passengers,2823
Del Bonita,Montana,3322,2019-12-01,Personal Vehicle Passengers,5019
Del Bonita,Montana,3322,2020-01-01,Personal Vehicle Passengers,3075
Del Bonita,Montana,3322,2020-02-01,Personal Vehicle Passengers,4007
Del Bonita,Montana,3322,2020-03-01,Personal Vehicle Passengers,1107
Del Bonita,Montana,3322,2020-04-01,Personal Vehicle Passengers,81
Del Bonita,Montana,3322,2020-05-01,Personal Vehicle Passengers,127
Del Bonita,Montana,3322,2020-06-01,Personal Vehicle Passengers,136
Del Bonita,Montana,3322,2020-07-01,Personal Vehicle Passengers,144
Del Bonita,Montana,3322,2020-08-01,Personal Vehicle Passengers,164
Del Bonita,Montana,3322,2020-09-01,Personal Vehicle Passengers,119
Del Bonita,Montana,3322,2020-10-01,Personal Vehicle Passengers,104
Del Bonita,Montana,3322,2020-11-01,Personal Vehicle Passengers,92
Del Bonita,Montana,3322,2020-12-01,Personal Vehicle Passengers,93
Del Bonita,Montana,3322,2021-01-01,Personal Vehicle Passengers,54
