fips,county,year,month,employment,labor_force,unemployment_rate,prelim
38007,Billings,2015,1,393.0,411.0,4.4,False
38007,Billings,2015,2,379.0,397.0,4.5,False
38007,Billings,2015,3,395.0,414.0,4.6,False
38007,Billings,2015,4,410.0,424.0,3.3,False
38007,Billings,2015,5,442.0,457.0,3.3,False
38007,Billings,2015,6,549.0,564.0,2.7,False
38007,Billings,2015,7,578.0,592.0,2.4,False
38007,Billings,2015,8,586.0,597.0,1.8,False
38007,Billings,2015,9,540.0,551.0,2.0,False
38007,Billings,2015,10,414.0,424.0,2.4,False
38007,Billings,2015,11,386.0,397.0,2.8,False
38007,Billings,2015,12,368.0,381.0,3.4,False
38007,Billings,2016,1,435.0,449.0,3.1,False
38007,Billings,2016,2,426.0,443.0,3.8,False
38007,Billings,2016,3,437.0,453.0,3.5,False
38007,Billings,2016,4,459.0,470.0,2.3,False
38007,Billings,2016,5,507.0,517.0,1.9,False
38007,Billings,2016,6,635.0,650.0,2.3,False
38007,Billings,2016,7,665.0,678.0,1.9,False
38007,Billings,2016,8,673.0,689.0,2.3,False
38007,Billings,2016,9,624.0,636.0,1.9,False
38007,Billings,2016,10,498.0,510.0,2.4,False
38007,Billings,2016,11,457.0,468.0,2.4,False
38007,Billings,2016,12,438.0,456.0,3.9,False
38007,Billings,2017,1,415.0,437.0,5.0,False
38007,Billings,2017,2,411.0,433.0,5.1,False
38007,Billings,2017,3,433.0,454.0,4.6,False
38007,Billings,2017,4,457.0,472.0,3.2,False
38007,Billings,2017,5,493.0,505.0,2.4,False
38007,Billings,2017,6,646.0,657.0,1.7,False
38007,Billings,2017,7,661.0,671.0,1.5,False
38007,Billings,2017,8,655.0,665.0,1.5,False
38007,Billings,2017,9,608.0,617.0,1.5,False
38007,Billings,2017,10,527.0,535.0,1.5,False
38007,Billings,2017,11,463.0,472.0,1.9,False
38007,Billings,2017,12,444.0,455.0,2.4,False
38007,Billings,2018,1,417.0,430.0,3.0,False
38007,Billings,2018,2,409.0,425.0,3.8,False
38007,Billings,2018,3,422.0,438.0,3.7,False
38007,Billings,2018,4,433.0,445.0,2.7,False
38007,Billings,2018,5,485.0,495.0,2.0,False
38007,Billings,2018,6,641.0,654.0,2.0,False
38007,Billings,2018,7,658.0,668.0,1.5,False
38007,Billings,2018,8,641.0,653.0,1.8,False
38007,Billings,2018,9,601.0,610.0,1.5,False
