as_of,state,visitors,share
2026-09-04,North Dakota,35532,0.4127
2026-09-04,Minnesota,13271,0.1542
2026-09-04,Montana,4424,0.0514
2026-09-04,South Dakota,4178,0.0485
2026-09-04,Texas,2942,0.0342
2026-09-04,Wisconsin,2857,0.0332
2026-09-04,Colorado,2596,0.0302
2026-09-04,California,2531,0.0294
2026-09-04,Florida,2234,0.0259
2026-09-04,Arizona,2088,0.0243
2026-09-04,Illinois,2048,0.0238
2026-09-04,Washington,1716,0.0199
2026-09-04,Iowa,1675,0.0195
2026-09-04,Nebraska,1447,0.0168
2026-09-04,Missouri,1421,0.0165
2026-09-04,Ohio,1218,0.0141
2026-09-04,Michigan,1121,0.013
2026-09-04,Pennsylvania,978,0.0114
2026-09-04,Indiana,916,0.0106
2026-09-04,Kansas,896,0.0104
