year,quarter,dimension,value,weighted_visitors,share
2021,1,entry_point,Superior,210.7,0.2032
2021,1,entry_point,Fairview,117.8,0.1137
2021,1,entry_point,Bozeman Air,89.7,0.0865
2021,1,entry_point,Lodge Grass,73.6,0.071
2021,1,entry_point,Wibaux/Beach,68.5,0.0661
2021,1,entry_point,Monida,62.8,0.0605
2021,1,entry_point,Bridger 72,52.0,0.0501
2021,1,entry_point,Sidney,45.3,0.0437
2021,1,entry_point,Targhee Pass,44.0,0.0424
2021,1,entry_point,Culbertson/Bainville,33.0,0.0318
2021,1,entry_point,Raynolds Pass,32.7,0.0315
2021,1,entry_point,Kalispell Air,30.1,0.029
2021,1,entry_point,Bridger 310,28.0,0.027
2021,1,entry_point,Troy,24.9,0.024
2021,1,entry_point,Billings Air,23.0,0.0222
2021,1,entry_point,Alzada,18.0,0.0173
2021,1,entry_point,Heron,16.0,0.0154
2021,1,entry_point,Missoula Air,13.1,0.0126
2021,1,entry_point,Biddle,10.7,0.0103
2021,1,entry_point,Great Falls Air,9.0,0.0087
2021,1,entry_point,Sula,8.0,0.0077
2021,1,entry_point,Baker,4.5,0.0043
2021,1,entry_point,Decker,4.0,0.0039
2021,1,entry_point,Lolo,4.0,0.0039
2021,1,entry_point,Helena Air,3.5,0.0034
2021,1,entry_point,Sweetgrass,2.6,0.0025
2021,1,entry_point,Rooseville,2.5,0.0024
2021,1,entry_point,Other MT road,2.0,0.0019
2021,1,entry_point,West Yellowstone Air,1.0,0.001
2021,1,entry_point,Thompson Falls,0.7,0.0007
2021,1,entry_point,Butte Air,0.6,0.0006
2021,1,entry_point,N Fk Rd Trail Creek Stn,0.3,0.0003
2021,1,entry_point,Grant,0.1,0.0001
2021,1,entry_point,Wildhorse,0.1,0.0001
2021,1,entry_point,Gardiner,0.0,0.0
2021,1,entry_point,Red Lodge,0.0,0.0
2021,1,entry_point,West Yellowstone,0.0,0.0
2021,2,entry_point,Superior,258.3,0.1425
2021,2,entry_point,West Yellowstone,184.0,0.1015
2021,2,entry_point,Lodge Grass,170.3,0.0939
2021,2,entry_point,Gardiner,133.4,0.0736
2021,2,entry_point,Fairview,120.9,0.0667
2021,2,entry_point,Targhee Pass,116.0,0.064
2021,2,entry_point,Monida,93.5,0.0516
2021,2,entry_point,Bozeman Air,87.8,0.0484
2021,2,entry_point,Wibaux/Beach,85.5,0.0471
2021,2,entry_point,Bridger 72,60.5,0.0334
2021,2,entry_point,Raynolds Pass,51.4,0.0283
2021,2,entry_point,Sidney,48.5,0.0268
2021,2,entry_point,Troy,45.7,0.0252
2021,2,entry_point,Alzada,38.9,0.0214
2021,2,entry_point,Kalispell Air,37.4,0.0206
2021,2,entry_point,Missoula Air,37.0,0.0204
2021,2,entry_point,Sula,33.1,0.0182
2021,2,entry_point,Bridger 310,32.0,0.0177
2021,2,entry_point,Billings Air,30.6,0.0169
2021,2,entry_point,Culbertson/Bainville,29.9,0.0165
2021,2,entry_point,Heron,20.4,0.0113
2021,2,entry_point,Biddle,17.6,0.0097
2021,2,entry_point,Lolo,16.2,0.0089
2021,2,entry_point,Great Falls Air,14.1,0.0078
2021,2,entry_point,Painted Rocks,8.3,0.0046
2021,2,entry_point,Red Lodge,7.4,0.0041
2021,2,entry_point,Decker,5.9,0.0033
2021,2,entry_point,Baker,5.7,0.0032
2021,2,entry_point,Helena Air,5.0,0.0028
2021,2,entry_point,Dagmar,4.0,0.0022
2021,2,entry_point,Other MT airport,3.0,0.0017
2021,2,entry_point,Other MT road,2.0,0.0011
2021,2,entry_point,Westby,1.8,0.001
2021,2,entry_point,Sweetgrass,1.6,0.0009
2021,2,entry_point,Butte Air,1.3,0.0007
2021,2,entry_point,West Yellowstone Air,1.3,0.0007
2021,2,entry_point,Train from ID,1.0,0.0006
2021,2,entry_point,Thompson Falls,0.9,0.0005
2021,2,entry_point,Rooseville,0.4,0.0002
2021,2,entry_point,Grant,0.2,0.0001
2021,2,entry_point,Chief Mountain,0.0,0.0
2021,2,entry_point,Del Bonita,0.0,0.0
2021,2,entry_point,N Fk Rd Trail Creek Stn,0.0,0.0
2021,2,entry_point,Opheim,0.0,0.0
2021,2,entry_point,Piegan,0.0,0.0
2021,2,entry_point,Raymond,0.0,0.0
2021,2,entry_point,Turner,0.0,0.0
2021,3,entry_point,Superior,361.4,0.146
2021,3,entry_point,West Yellowstone,268.0,0.1083
2021,3,entry_point,Gardiner,252.9,0.1022
2021,3,entry_point,Lodge Grass,235.1,0.095
2021,3,entry_point,Wibaux/Beach,145.7,0.0589
2021,3,entry_point,Fairview,135.5,0.0547
2021,3,entry_point,Monida,125.6,0.0508
2021,3,entry_point,Bozeman Air,124.8,0.0504
2021,3,entry_point,Targhee Pass,120.0,0.0485
2021,3,entry_point,Alzada,74.3,0.03
2021,3,entry_point,Raynolds Pass,68.9,0.0278
2021,3,entry_point,Kalispell Air,53.5,0.0216
2021,3,entry_point,Troy,51.0,0.0206
2021,3,entry_point,Culbertson/Bainville,48.3,0.0195
2021,3,entry_point,Missoula Air,45.6,0.0184
2021,3,entry_point,Bridger 72,44.0,0.0178
2021,3,entry_point,Sidney,40.7,0.0164
2021,3,entry_point,Bridger 310,40.0,0.0162
2021,3,entry_point,Sula,40.1,0.0162
2021,3,entry_point,Red Lodge,32.9,0.0133
2021,3,entry_point,Heron,31.1,0.0126
2021,3,entry_point,Billings Air,26.7,0.0108
2021,3,entry_point,Biddle,18.0,0.0073
2021,3,entry_point,Lolo,15.3,0.0062
2021,3,entry_point,Baker,13.9,0.0056
2021,3,entry_point,Great Falls Air,13.8,0.0056
2021,3,entry_point,Decker,8.0,0.0032
2021,3,entry_point,Helena Air,7.1,0.0029
2021,3,entry_point,Painted Rocks,5.7,0.0023
2021,3,entry_point,Sweetgrass,4.5,0.0018
2021,3,entry_point,Westby,4.5,0.0018
2021,3,entry_point,Other MT road,4.0,0.0016
2021,3,entry_point,West Yellowstone Air,3.7,0.0015
2021,3,entry_point,Train from ND,3.0,0.0012
2021,3,entry_point,Thompson Falls,2.1,0.0008
2021,3,entry_point,Train from ID,2.0,0.0008
2021,3,entry_point,Rooseville,1.4,0.0005
2021,3,entry_point,Butte Air,1.0,0.0004
2021,3,entry_point,Grant,0.4,0.0002
2021,3,entry_point,Chief Mountain,0.0,0.0
2021,3,entry_point,Del Bonita,0.0,0.0
2021,3,entry_point,Piegan,0.0,0.0
2021,3,entry_point,Raymond,0.0,0.0
2021,3,entry_point,Wildhorse,0.0,0.0
2021,4,entry_point,Superior,191.3,0.1661
2021,4,entry_point,Fairview,120.9,0.1049
2021,4,entry_point,Lodge Grass,101.2,0.0879
2021,4,entry_point,Wibaux/Beach,86.7,0.0753
2021,4,entry_point,Monida,76.3,0.0663
2021,4,entry_point,Bozeman Air,57.0,0.0495
2021,4,entry_point,Targhee Pass,56.0,0.0486
2021,4,entry_point,Bridger 72,50.4,0.0438
2021,4,entry_point,Culbertson/Bainville,39.2,0.034
2021,4,entry_point,Raynolds Pass,36.6,0.0318
2021,4,entry_point,West Yellowstone,32.0,0.0278
2021,4,entry_point,Gardiner,30.2,0.0262
2021,4,entry_point,Sidney,28.6,0.0248
2021,4,entry_point,Alzada,26.6,0.0231
2021,4,entry_point,Troy,26.5,0.023
2021,4,entry_point,Billings Air,25.7,0.0223
2021,4,entry_point,Heron,24.8,0.0215
2021,4,entry_point,Bridger 310,24.0,0.0208
2021,4,entry_point,Sweetgrass,20.3,0.0177
2021,4,entry_point,Kalispell Air,18.6,0.0162
2021,4,entry_point,Missoula Air,12.0,0.0104
2021,4,entry_point,Great Falls Air,10.7,0.0093
2021,4,entry_point,Biddle,9.7,0.0084
2021,4,entry_point,Sula,8.0,0.0069
2021,4,entry_point,Lolo,6.4,0.0056
2021,4,entry_point,Baker,4.9,0.0043
2021,4,entry_point,Dagmar,4.0,0.0035
2021,4,entry_point,Decker,4.0,0.0035
2021,4,entry_point,Helena Air,4.0,0.0035
2021,4,entry_point,Rooseville,3.5,0.0031
2021,4,entry_point,Train from ID,2.0,0.0017
2021,4,entry_point,Raymond,1.7,0.0015
2021,4,entry_point,Red Lodge,1.7,0.0014
2021,4,entry_point,Westby,1.6,0.0014
2021,4,entry_point,Butte Air,1.1,0.0009
2021,4,entry_point,Other MT airport,1.0,0.0009
2021,4,entry_point,Piegan,0.8,0.0007
2021,4,entry_point,Thompson Falls,0.8,0.0007
2021,4,entry_point,Del Bonita,0.3,0.0002
2021,4,entry_point,Wildhorse,0.2,0.0002
2021,4,entry_point,Grant,0.2,0.0001
2021,4,entry_point,Scobey,0.1,0.0001
2021,4,entry_point,Turner,0.1,0.0001
2021,4,entry_point,Witlash,0.0,0.0
2022,1,entry_point,Superior,171.9,0.1845
2022,1,entry_point,Lodge Grass,84.8,0.091
2022,1,entry_point,Fairview,80.7,0.0867
2022,1,entry_point,Monida,71.0,0.0762
2022,1,entry_point,Bozeman Air,68.0,0.073
2022,1,entry_point,Targhee Pass,64.0,0.0687
2022,1,entry_point,Wibaux/Beach,57.5,0.0617
2022,1,entry_point,Bridger 310,48.4,0.052
2022,1,entry_point,Culbertson/Bainville,35.7,0.0383
2022,1,entry_point,Bridger 72,32.0,0.0343
2022,1,entry_point,Kalispell Air,31.8,0.0341
2022,1,entry_point,Alzada,26.1,0.028
2022,1,entry_point,Raynolds Pass,24.0,0.0258
2022,1,entry_point,Heron,20.0,0.0215
2022,1,entry_point,Missoula Air,16.5,0.0177
2022,1,entry_point,Billings Air,16.0,0.0172
2022,1,entry_point,Sidney,15.8,0.0169
2022,1,entry_point,Biddle,10.4,0.0111
2022,1,entry_point,Sweetgrass,10.4,0.0111
2022,1,entry_point,Great Falls Air,9.1,0.0097
2022,1,entry_point,Sula,8.0,0.0086
2022,1,entry_point,Helena Air,6.3,0.0067
2022,1,entry_point,Other MT road,6.0,0.0064
2022,1,entry_point,Lolo,4.7,0.005
2022,1,entry_point,Baker,3.2,0.0034
2022,1,entry_point,Decker,3.1,0.0033
2022,1,entry_point,Raymond,2.1,0.0023
2022,1,entry_point,Piegan,1.6,0.0017
2022,1,entry_point,Westby,1.2,0.0013
2022,1,entry_point,Del Bonita,0.5,0.0005
2022,1,entry_point,Grant,0.5,0.0005
2022,1,entry_point,Thompson Falls,0.4,0.0004
2022,1,entry_point,Wildhorse,0.2,0.0002
2022,1,entry_point,Morgan,0.1,0.0001
2022,1,entry_point,Red Lodge,0.0,0.0
2022,1,entry_point,West Yellowstone,0.0,0.0
2022,1,entry_point,Witlash,0.0,0.0
2022,2,entry_point,Superior,328.6,0.1558
2022,2,entry_point,West Yellowstone,212.0,0.1005
2022,2,entry_point,Lodge Grass,171.2,0.0812
2022,2,entry_point,Targhee Pass,156.0,0.074
2022,2,entry_point,Wibaux/Beach,123.3,0.0585
2022,2,entry_point,Monida,123.2,0.0584
2022,2,entry_point,Bozeman Air,112.8,0.0535
2022,2,entry_point,Gardiner,112.0,0.0531
2022,2,entry_point,Bridger 310,62.8,0.0298
2022,2,entry_point,Fairview,61.3,0.029
2022,2,entry_point,Raynolds Pass,56.0,0.0266
2022,2,entry_point,Troy,53.6,0.0254
2022,2,entry_point,Bridger 72,52.5,0.0249
2022,2,entry_point,Alzada,49.1,0.0233
2022,2,entry_point,Culbertson/Bainville,47.2,0.0224
2022,2,entry_point,Heron,40.7,0.0193
2022,2,entry_point,Kalispell Air,40.5,0.0192
2022,2,entry_point,Other MT road,40.0,0.019
2022,2,entry_point,Missoula Air,37.2,0.0177
2022,2,entry_point,Sula,35.6,0.0169
2022,2,entry_point,Billings Air,35.5,0.0168
2022,2,entry_point,Sweetgrass,27.7,0.0131
2022,2,entry_point,Sidney,23.8,0.0113
2022,2,entry_point,Biddle,17.0,0.008
2022,2,entry_point,Lolo,15.8,0.0075
2022,2,entry_point,Rooseville,15.3,0.0073
2022,2,entry_point,Great Falls Air,13.4,0.0064
2022,2,entry_point,Piegan,8.9,0.0042
2022,2,entry_point,Helena Air,6.7,0.0032
2022,2,entry_point,Red Lodge,6.4,0.003
2022,2,entry_point,Baker,5.5,0.0026
2022,2,entry_point,Decker,5.4,0.0026
2022,2,entry_point,Raymond,3.9,0.0019
2022,2,entry_point,Butte Air,1.8,0.0009
2022,2,entry_point,Train from ID,1.0,0.0005
2022,2,entry_point,Train from ND,1.0,0.0005
2022,2,entry_point,Del Bonita,0.9,0.0004
2022,2,entry_point,Grant,0.8,0.0004
2022,2,entry_point,Wildhorse,0.9,0.0004
2022,2,entry_point,Thompson Falls,0.7,0.0003
2022,2,entry_point,Turner,0.4,0.0002
2022,2,entry_point,Morgan,0.3,0.0001
2022,2,entry_point,Opheim,0.1,0.0001
2022,2,entry_point,Scobey,0.3,0.0001
2022,3,entry_point,Superior,485.5,0.14
2022,3,entry_point,West Yellowstone,436.4,0.1258
2022,3,entry_point,Targhee Pass,408.0,0.1176
2022,3,entry_point,Lodge Grass,277.3,0.08
2022,3,entry_point,Wibaux/Beach,186.6,0.0538
2022,3,entry_point,Monida,168.2,0.0485
2022,3,entry_point,Bozeman Air,153.4,0.0442
2022,3,entry_point,Alzada,148.2,0.0427
2022,3,entry_point,Fairview,133.3,0.0384
2022,3,entry_point,Raynolds Pass,110.2,0.0318
2022,3,entry_point,Bridger 310,80.6,0.0233
2022,3,entry_point,Kalispell Air,77.2,0.0223
2022,3,entry_point,Troy,76.4,0.022
2022,3,entry_point,Bridger 72,75.5,0.0218
2022,3,entry_point,Culbertson/Bainville,69.1,0.0199
2022,3,entry_point,Heron,63.7,0.0184
2022,3,entry_point,Sula,49.5,0.0143
2022,3,entry_point,Sidney,45.8,0.0132
2022,3,entry_point,Sweetgrass,44.2,0.0128
2022,3,entry_point,Gardiner,44.0,0.0127
2022,3,entry_point,Biddle,41.0,0.0118
2022,3,entry_point,Rooseville,40.2,0.0116
2022,3,entry_point,Missoula Air,36.0,0.0104
2022,3,entry_point,Billings Air,35.9,0.0103
2022,3,entry_point,Piegan,34.9,0.0101
2022,3,entry_point,Red Lodge,34.8,0.01
2022,3,entry_point,Lolo,21.4,0.0062
2022,3,entry_point,Baker,17.0,0.0049
2022,3,entry_point,Great Falls Air,14.5,0.0042
2022,3,entry_point,Decker,12.0,0.0035
2022,3,entry_point,Raymond,10.1,0.0029
2022,3,entry_point,Helena Air,8.3,0.0024
2022,3,entry_point,Dagmar,8.0,0.0023
2022,3,entry_point,Westby,6.2,0.0018
2022,3,entry_point,Other MT road,3.0,0.0009
2022,3,entry_point,Train from ID,3.0,0.0009
2022,3,entry_point,Thompson Falls,2.1,0.0006
2022,3,entry_point,Del Bonita,1.8,0.0005
2022,3,entry_point,Grant,1.7,0.0005
2022,3,entry_point,Wildhorse,1.8,0.0005
2022,3,entry_point,Turner,0.6,0.0002
2022,3,entry_point,Morgan,0.4,0.0001
2022,3,entry_point,Opheim,0.2,0.0001
2022,3,entry_point,Scobey,0.4,0.0001
2022,3,entry_point,Witlash,0.1,0.0
2022,4,entry_point,Superior,174.2,0.1599
2022,4,entry_point,Lodge Grass,119.3,0.1095
2022,4,entry_point,Monida,84.6,0.0777
2022,4,entry_point,Targhee Pass,82.3,0.0756
2022,4,entry_point,Wibaux/Beach,80.3,0.0737
2022,4,entry_point,Fairview,58.7,0.0538
2022,4,entry_point,Bozeman Air,49.7,0.0456
2022,4,entry_point,Alzada,49.4,0.0454
2022,4,entry_point,West Yellowstone,48.0,0.044
2022,4,entry_point,Culbertson/Bainville,37.3,0.0342
2022,4,entry_point,Troy,35.7,0.0328
2022,4,entry_point,Sweetgrass,33.2,0.0305
2022,4,entry_point,Billings Air,24.0,0.022
2022,4,entry_point,Bridger 72,24.0,0.022
2022,4,entry_point,Heron,22.6,0.0207
2022,4,entry_point,Missoula Air,20.2,0.0185
2022,4,entry_point,Raynolds Pass,20.0,0.0184
2022,4,entry_point,Sula,19.7,0.0181
2022,4,entry_point,Biddle,15.6,0.0143
2022,4,entry_point,Kalispell Air,14.0,0.0129
2022,4,entry_point,Sidney,13.8,0.0127
2022,4,entry_point,Bridger 310,12.0,0.011
2022,4,entry_point,Great Falls Air,11.7,0.0107
2022,4,entry_point,Rooseville,8.0,0.0073
2022,4,entry_point,Lolo,4.6,0.0042
2022,4,entry_point,Raymond,4.6,0.0042
2022,4,entry_point,Baker,4.0,0.0037
2022,4,entry_point,Dagmar,4.0,0.0037
2022,4,entry_point,Helena Air,3.5,0.0032
2022,4,entry_point,Piegan,2.7,0.0024
2022,4,entry_point,Other MT road,2.0,0.0018
2022,4,entry_point,Red Lodge,1.6,0.0015
2022,4,entry_point,Westby,1.5,0.0014
2022,4,entry_point,Del Bonita,0.6,0.0006
2022,4,entry_point,Grant,0.6,0.0005
2022,4,entry_point,Wildhorse,0.5,0.0005
