year,month,visits
1991,1,180000
1991,2,295000
1991,3,253000
1991,4,387000
1991,5,509000
1991,6,762000
1991,7,1440000
1991,8,1394000
1991,9,796000
1991,10,422000
1991,11,310000
1991,12,333000
1992,1,204000
1992,2,330000
1992,3,284000
1992,4,439000
1992,5,569000
1992,6,833000
1992,7,1540000
1992,8,1454000
1992,9,867000
1992,10,466000
1992,11,356000
1992,12,348000
1993,1,211000
1993,2,332000
1993,3,296000
1993,4,475000
1993,5,617000
1993,6,865000
1993,7,1705000
1993,8,1633000
1993,9,973000
1993,10,507000
1993,11,381000
1993,12,380000
1994,1,238000
1994,2,346000
1994,3,324000
1994,4,490000
1994,5,650000
1994,6,962000
1994,7,1734000
1994,8,1629000
1994,9,960000
1994,10,522000
1994,11,397000
1994,12,405000
1995,1,248000
1995,2,382000
1995,3,311000
1995,4,489000
1995,5,644000
1995,6,954000
1995,7,1711000
1995,8,1658000
1995,9,1005000
1995,10,551000
1995,11,405000
1995,12,414000
1996,1,261000
1996,2,267000
1996,3,308000
1996,4,471000
1996,5,597000
1996,6,1224000
1996,7,1801000
1996,8,1654000
1996,9,875000
1996,10,517000
1996,11,368000
1996,12,352000
1997,1,253000
1997,2,263000
1997,3,322000
1997,4,447000
1997,5,623000
1997,6,1211000
1997,7,1816000
1997,8,1737000
1997,9,910000
1997,10,533000
1997,11,397000
1997,12,378000
1998,1,330000
1998,2,309000
1998,3,384000
1998,4,516000
1998,5,644000
1998,6,1229000
1998,7,1888000
1998,8,1692000
1998,9,999000
1998,10,557000
1998,11,390000
1998,12,342000
1999,1,345000
1999,2,313000
1999,3,416000
1999,4,514000
1999,5,633000
1999,6,1253000
1999,7,1865000
1999,8,1690000
1999,9,1009000
1999,10,555000
1999,11,455000
1999,12,379000
2000,1,360000
2000,2,328000
2000,3,438000
2000,4,522000
2000,5,648000
2000,6,1292000
2000,7,1877000
2000,8,1668000
2000,9,973000
2000,10,559000
2000,11,443000
2000,12,357000
2001,1,323000
2001,2,468000
2001,3,380000
2001,4,542000
2001,5,690000
2001,6,1294000
2001,7,1848000
2001,8,1693000
2001,9,963000
2001,10,563000
2001,11,416000
2001,12,372000
2002,1,322000
2002,2,497000
2002,3,359000
2002,4,547000
2002,5,689000
2002,6,1349000
2002,7,1914000
2002,8,1729000
2002,9,990000
2002,10,565000
2002,11,422000
2002,12,384000
2003,1,429000
2003,2,543000
2003,3,443000
2003,4,508000
2003,5,684000
2003,6,1255000
2003,7,1741000
2003,8,1539000
2003,9,904000
2003,10,699000
2003,11,449000
2003,12,476000
2004,1,514000
2004,2,507000
2004,3,587000
2004,4,539000
2004,5,705000
2004,6,1190000
