industry,year,quarter,total
Accommodation & Food Services,2019,1,411633357.0
Accommodation & Food Services,2019,2,476514939.0
Accommodation & Food Services,2019,3,506646650.0
Accommodation & Food Services,2019,4,447685750.0
Accommodation & Food Services,2020,1,385373206.0
Accommodation & Food Services,2020,2,315968462.0
Accommodation & Food Services,2020,3,422643474.0
Accommodation & Food Services,2020,4,360228290.0
Accommodation & Food Services,2021,1,397990554.0
Accommodation & Food Services,2021,2,474664962.0
Accommodation & Food Services,2021,3,514643280.0
Accommodation & Food Services,2021,4,466182246.0
Accommodation & Food Services,2022,1,443129847.0
Accommodation & Food Services,2022,2,513300015.0
Accommodation & Food Services,2022,3,566536486.0
Accommodation & Food Services,2022,4,498272662.0
Accommodation & Food Services,2023,1,483264608.0
Accommodation & Food Services,2023,2,556120579.0
Accommodation & Food Services,2023,3,603597912.0
Accommodation & Food Services,2023,4,525308358.0
Accommodation & Food Services,2024,1,493999312.0
Accommodation & Food Services,2024,2,581206402.0
Accommodation & Food Services,2024,3,607205811.0
Accommodation & Food Services,2024,4,535100115.0
Accommodation & Food Services,2025,1,496433883.0
Accommodation & Food Services,2025,2,574334937.0
Accommodation & Food Services,2025,3,600129731.0
Accommodation & Food Services,2025,4,538311831.0
Accommodation & Food Services,2026,1,507877557.0
Accommodation & Food Services,2026,2,583790933.0
"Arts, Entertainment & Recreation",2019,1,18121774.0
"Arts, Entertainment & Recreation",2019,2,33692305.0
"Arts, Entertainment & Recreation",2019,3,44447202.0
"Arts, Entertainment & Recreation",2019,4,26315885.0
"Arts, Entertainment & Recreation",2020,1,16917947.0
"Arts, Entertainment & Recreation",2020,2,20108091.0
"Arts, Entertainment & Recreation",2020,3,38703756.0
"Arts, Entertainment & Recreation",2020,4,12335847.0
"Arts, Entertainment & Recreation",2021,1,15151751.0
"Arts, Entertainment & Recreation",2021,2,32966688.0
"Arts, Entertainment & Recreation",2021,3,51481674.0
"Arts, Entertainment & Recreation",2021,4,23631176.0
"Arts, Entertainment & Recreation",2022,1,21839381.0
"Arts, Entertainment & Recreation",2022,2,39884963.0
"Arts, Entertainment & Recreation",2022,3,61462978.0
"Arts, Entertainment & Recreation",2022,4,28438072.0
"Arts, Entertainment & Recreation",2023,1,25473558.0
"Arts, Entertainment & Recreation",2023,2,46360905.0
"Arts, Entertainment & Recreation",2023,3,62880463.0
"Arts, Entertainment & Recreation",2023,4,33130664.0
"Arts, Entertainment & Recreation",2024,1,30790742.0
"Arts, Entertainment & Recreation",2024,2,50731431.0
"Arts, Entertainment & Recreation",2024,3,66344473.0
"Arts, Entertainment & Recreation",2024,4,35181722.0
"Arts, Entertainment & Recreation",2025,1,28475696.0
"Arts, Entertainment & Recreation",2025,2,51400350.0
"Arts, Entertainment & Recreation",2025,3,67476948.0
"Arts, Entertainment & Recreation",2025,4,35773909.0
"Arts, Entertainment & Recreation",2026,1,33098500.0
"Arts, Entertainment & Recreation",2026,2,51143563.0
Construction,2019,1,102824046.0
Construction,2019,2,152271507.0
Construction,2019,3,197266891.0
Construction,2019,4,175273429.0
Construction,2020,1,104156519.0
Construction,2020,2,127665337.0
Construction,2020,3,162314619.0
Construction,2020,4,148986764.0
Construction,2021,1,94657112.0
Construction,2021,2,143419161.0
Construction,2021,3,182038190.0
Construction,2021,4,157939803.0
Construction,2022,1,111477798.0
Construction,2022,2,164383693.0
Construction,2022,3,251434699.0
Construction,2022,4,196479491.0
Construction,2023,1,139048495.0
Construction,2023,2,176572729.0
Construction,2023,3,244313583.0
Construction,2023,4,207054760.0
Construction,2024,1,139368114.0
Construction,2024,2,182623942.0
Construction,2024,3,246071488.0
Construction,2024,4,223290883.0
