county,year,direct_jobs,total_jobs,share_of_state_pct,share_of_county_employment_pct,direct_income_musd,total_income_musd,edition
Adams,2024,51,75,0.2,4.7,1.0,2.2,2024
Adams,2025,52,77,0.2,4.8,1.0,2.3,2025
Barnes,2024,287,412,1.0,5.7,5.8,10.8,2024
Barnes,2025,293,418,1.0,5.9,5.9,11.1,2025
Benson,2024,149,192,0.5,6.3,2.5,4.7,2024
Benson,2025,147,190,0.5,6.1,2.6,4.8,2025
Billings,2024,181,224,0.6,18.1,7.6,9.1,2024
Billings,2025,190,235,0.6,16.4,7.8,9.4,2025
Bottineau,2024,238,306,0.8,6.4,4.7,7.6,2024
Bottineau,2025,228,293,0.7,5.9,4.3,6.9,2025
Bowman,2024,95,124,0.3,5.4,1.8,3.1,2024
Bowman,2025,94,123,0.3,4.8,1.8,3.2,2025
Burke,2024,15,23,0.1,1.6,0.2,0.6,2024
Burke,2025,15,23,0.1,1.6,0.2,0.6,2025
Burleigh,2024,4185,6262,15.6,7.9,117.7,235.8,2024
Burleigh,2025,4201,6260,15.7,7.8,120.6,242.1,2025
Cass,2024,10210,14441,36.1,8.6,316.5,564.8,2024
Cass,2025,10143,14273,35.8,8.5,319.5,566.1,2025
Cavalier,2024,35,47,0.1,1.7,0.7,1.2,2024
Cavalier,2025,36,48,0.1,1.7,0.7,1.2,2025
Dickey,2024,51,78,0.2,2.1,0.8,2.0,2024
Dickey,2025,54,83,0.2,1.7,0.9,2.3,2025
Divide,2024,33,52,0.1,3.4,0.6,1.5,2024
Divide,2025,29,47,0.1,3.2,0.5,1.4,2025
Dunn,2024,78,119,0.3,3.3,1.8,4.0,2024
Dunn,2025,77,115,0.3,3.4,1.7,3.7,2025
Eddy,2024,11,20,0.1,1.4,0.2,0.5,2024
Eddy,2025,11,20,0.1,1.4,0.2,0.5,2025
Emmons,2024,95,114,0.3,5.1,1.7,2.4,2024
Emmons,2025,93,112,0.3,5.1,1.7,2.4,2025
Foster,2024,153,174,0.4,6.9,2.4,3.4,2024
Foster,2025,139,158,0.4,6.5,2.1,3.1,2025
Golden Valley,2024,16,22,0.1,1.5,0.3,0.5,2024
Golden Valley,2025,17,23,0.1,1.7,0.3,0.5,2025
Grand Forks,2024,3167,4498,11.2,8.0,84.3,151.0,2024
Grand Forks,2025,3199,4538,11.4,8.0,85.7,154.2,2025
Grant,2024,19,33,0.1,2.0,0.3,0.9,2024
Grant,2025,20,34,0.1,2.1,0.3,0.9,2025
Griggs,2024,6,17,0.0,1.0,0.2,0.6,2024
Griggs,2025,6,15,0.0,1.0,0.1,0.6,2025
Hettinger,2024,55,58,0.1,3.7,0.9,1.0,2024
Hettinger,2025,59,63,0.2,3.7,1.0,1.1,2025
Kidder,2024,48,54,0.1,3.1,0.7,0.9,2024
Kidder,2025,52,58,0.1,3.6,0.7,1.0,2025
LaMoure,2024,30,37,0.1,1.3,0.5,0.8,2024
LaMoure,2025,30,37,0.1,1.3,0.5,0.8,2025
Logan,2024,18,21,0.1,1.4,0.2,0.3,2024
Logan,2025,17,20,0.1,1.4,0.2,0.3,2025
McHenry,2024,43,67,0.2,2.3,0.6,1.7,2024
McHenry,2025,44,68,0.2,2.4,0.6,1.7,2025
McIntosh,2024,44,70,0.2,3.6,0.9,2.0,2024
McIntosh,2025,38,62,0.2,3.2,0.8,1.8,2025
McKenzie,2024,553,696,1.7,4.6,16.4,27.0,2024
McKenzie,2025,561,704,1.8,4.6,16.3,27.0,2025
McLean,2024,114,159,0.4,2.7,2.2,5.0,2024
McLean,2025,109,153,0.4,2.5,2.2,5.1,2025
Mercer,2024,246,338,0.8,5.2,5.0,11.6,2024
Mercer,2025,245,334,0.8,5.3,4.9,11.2,2025
Morton,2024,449,795,2.0,4.2,10.8,27.2,2024
Morton,2025,460,806,2.0,4.3,11.3,28.5,2025
Mountrail,2024,603,713,1.8,9.7,15.1,21.9,2024
Mountrail,2025,634,746,1.9,10.0,16.6,24.1,2025
Nelson,2024,79,96,0.2,4.4,1.2,1.8,2024
Nelson,2025,68,83,0.2,3.9,1.0,1.6,2025
North Dakota,2024,28246,40054,70.5,6.5,782.3,1427.0,2024
North Dakota,2025,28229,39867,100.0,6.5,795.0,1445.8,2025
Oliver,2024,18,30,0.1,2.3,0.3,1.2,2024
Oliver,2025,19,31,0.1,2.4,0.3,1.4,2025
Pembina,2024,132,207,0.5,4.1,2.3,5.6,2024
Pembina,2025,131,204,0.5,4.0,2.3,5.8,2025
Pierce,2024,90,114,0.3,4.0,1.5,2.6,2024
Pierce,2025,88,112,0.3,3.9,1.6,2.7,2025
Ramsey,2024,785,970,2.4,11.5,20.7,29.1,2024
Ramsey,2025,758,937,2.3,11.3,20.6,28.9,2025
Ransom,2024,74,107,0.3,3.2,1.3,2.7,2024
Ransom,2025,75,110,0.3,3.2,1.3,2.7,2025
Renville,2024,17,21,0.1,1.7,0.3,0.5,2024
Renville,2025,17,22,0.1,1.7,0.3,0.5,2025
Richland,2024,276,417,1.0,3.6,5.3,11.4,2024
Richland,2025,268,404,1.0,3.6,5.3,11.2,2025
Rolette,2024,268,350,0.9,5.4,4.4,7.4,2024
Rolette,2025,263,343,0.9,5.5,4.4,7.5,2025
Sargent,2024,39,65,0.2,1.7,0.6,1.6,2024
Sargent,2025,42,69,0.2,1.9,0.6,1.6,2025
Sheridan,2024,12,28,0.1,3.3,0.1,0.6,2024
Sheridan,2025,11,27,0.1,3.9,0.1,0.6,2025
