year,month,airport,code,boardings
2016,1,Bismarck,BIS,21394
2016,2,Bismarck,BIS,20308
2016,3,Bismarck,BIS,23324
2016,8,Bismarck,BIS,22631
2016,9,Bismarck,BIS,21802
2016,10,Bismarck,BIS,24791
2016,11,Bismarck,BIS,24283
2016,12,Bismarck,BIS,24884
2017,1,Bismarck,BIS,20646
2017,2,Bismarck,BIS,20414
2017,3,Bismarck,BIS,23204
2017,4,Bismarck,BIS,21183
2017,5,Bismarck,BIS,22028
2017,6,Bismarck,BIS,24607
2017,7,Bismarck,BIS,27245
2017,8,Bismarck,BIS,24381
2017,9,Bismarck,BIS,21141
2017,10,Bismarck,BIS,21971
2017,11,Bismarck,BIS,22148
2017,12,Bismarck,BIS,23771
2018,1,Bismarck,BIS,21044
2018,2,Bismarck,BIS,20450
2018,3,Bismarck,BIS,22293
2018,4,Bismarck,BIS,22368
2018,5,Bismarck,BIS,23273
2018,6,Bismarck,BIS,24570
2018,7,Bismarck,BIS,25789
2018,8,Bismarck,BIS,24396
2018,9,Bismarck,BIS,22561
2018,10,Bismarck,BIS,24743
2018,11,Bismarck,BIS,24022
2018,12,Bismarck,BIS,26854
2019,1,Bismarck,BIS,22302
2019,2,Bismarck,BIS,23880
2019,3,Bismarck,BIS,27623
2019,4,Bismarck,BIS,24690
2019,5,Bismarck,BIS,26066
2019,6,Bismarck,BIS,26531
2019,7,Bismarck,BIS,28876
2019,8,Bismarck,BIS,25892
2019,9,Bismarck,BIS,23891
2019,10,Bismarck,BIS,26756
2019,11,Bismarck,BIS,23821
2019,12,Bismarck,BIS,29009
2020,1,Bismarck,BIS,24923
2020,2,Bismarck,BIS,26898
2020,3,Bismarck,BIS,14453
2020,4,Bismarck,BIS,1213
2020,5,Bismarck,BIS,4222
2020,6,Bismarck,BIS,7833
2020,7,Bismarck,BIS,11274
2020,8,Bismarck,BIS,10883
2020,9,Bismarck,BIS,10249
2020,10,Bismarck,BIS,12617
2020,11,Bismarck,BIS,11059
2020,12,Bismarck,BIS,14537
2021,1,Bismarck,BIS,10893
2021,2,Bismarck,BIS,12945
2021,3,Bismarck,BIS,18217
2021,4,Bismarck,BIS,15509
2021,5,Bismarck,BIS,17656
2021,6,Bismarck,BIS,20244
2021,7,Bismarck,BIS,22209
2021,8,Bismarck,BIS,19272
2021,9,Bismarck,BIS,18230
2021,10,Bismarck,BIS,19089
2021,11,Bismarck,BIS,18610
2021,12,Bismarck,BIS,20794
2022,1,Bismarck,BIS,16762
2022,2,Bismarck,BIS,18636
2022,3,Bismarck,BIS,22423
2022,4,Bismarck,BIS,18200
2022,5,Bismarck,BIS,20418
2022,6,Bismarck,BIS,21631
2022,7,Bismarck,BIS,22158
2022,8,Bismarck,BIS,20505
2022,9,Bismarck,BIS,20017
2022,10,Bismarck,BIS,21510
2022,11,Bismarck,BIS,18285
2022,12,Bismarck,BIS,21455
2023,1,Bismarck,BIS,19897
2023,2,Bismarck,BIS,19634
2023,3,Bismarck,BIS,21587
2023,4,Bismarck,BIS,18688
2023,5,Bismarck,BIS,20712
2023,6,Bismarck,BIS,22130
2023,7,Bismarck,BIS,23999
2023,8,Bismarck,BIS,21765
2023,9,Bismarck,BIS,21032
2023,10,Bismarck,BIS,23963
2023,11,Bismarck,BIS,21413
2023,12,Bismarck,BIS,21941
2024,1,Bismarck,BIS,21358
2024,2,Bismarck,BIS,22020
2024,3,Bismarck,BIS,23283
2024,4,Bismarck,BIS,21535
2024,5,Bismarck,BIS,26032
2024,6,Bismarck,BIS,25332
2024,7,Bismarck,BIS,27792
2024,8,Bismarck,BIS,25245
2024,9,Bismarck,BIS,23355
2024,10,Bismarck,BIS,26549
2024,11,Bismarck,BIS,23877
2024,12,Bismarck,BIS,28202
2025,1,Bismarck,BIS,24278
2025,2,Bismarck,BIS,24872
2025,3,Bismarck,BIS,29343
2025,4,Bismarck,BIS,24530
2025,5,Bismarck,BIS,24950
2025,6,Bismarck,BIS,25741
2025,7,Bismarck,BIS,28819
2025,8,Bismarck,BIS,25530
2025,9,Bismarck,BIS,23729
2025,10,Bismarck,BIS,27388
2025,11,Bismarck,BIS,23722
2025,12,Bismarck,BIS,26631
2026,4,Bismarck,BIS,25261
2026,5,Bismarck,BIS,24434
2026,6,Bismarck,BIS,24109
2026,7,Bismarck,BIS,26631
2016,1,Dickinson,DIK,1497
2016,2,Dickinson,DIK,1345
2016,3,Dickinson,DIK,1245
2016,8,Dickinson,DIK,1523
2016,9,Dickinson,DIK,1383
2016,10,Dickinson,DIK,1417
2016,11,Dickinson,DIK,1418
2016,12,Dickinson,DIK,1668
2017,1,Dickinson,DIK,1293
2017,2,Dickinson,DIK,1288
2017,3,Dickinson,DIK,1384
2017,4,Dickinson,DIK,1492
2017,5,Dickinson,DIK,1712
2017,6,Dickinson,DIK,1671
2017,7,Dickinson,DIK,1650
2017,8,Dickinson,DIK,1628
2017,9,Dickinson,DIK,1511
2017,10,Dickinson,DIK,1702
2017,11,Dickinson,DIK,1644
2017,12,Dickinson,DIK,1963
2018,1,Dickinson,DIK,1655
2018,2,Dickinson,DIK,1607
2018,3,Dickinson,DIK,1614
2018,4,Dickinson,DIK,1594
2018,5,Dickinson,DIK,1912
2018,6,Dickinson,DIK,1920
2018,7,Dickinson,DIK,2005
2018,8,Dickinson,DIK,2115
2018,9,Dickinson,DIK,1772
2018,10,Dickinson,DIK,2198
2018,11,Dickinson,DIK,1943
2018,12,Dickinson,DIK,2257
2019,1,Dickinson,DIK,1759
2019,2,Dickinson,DIK,1644
2019,3,Dickinson,DIK,1579
2019,4,Dickinson,DIK,1808
2019,5,Dickinson,DIK,2088
2019,6,Dickinson,DIK,2057
2019,7,Dickinson,DIK,2161
2019,8,Dickinson,DIK,2242
2019,9,Dickinson,DIK,2020
2019,10,Dickinson,DIK,2107
2019,11,Dickinson,DIK,1938
2019,12,Dickinson,DIK,2498
2020,1,Dickinson,DIK,1997
2020,2,Dickinson,DIK,2038
2020,3,Dickinson,DIK,1182
2020,4,Dickinson,DIK,153
2020,5,Dickinson,DIK,268
2020,6,Dickinson,DIK,579
2020,7,Dickinson,DIK,847
2020,8,Dickinson,DIK,881
2020,9,Dickinson,DIK,786
2020,10,Dickinson,DIK,841
2020,11,Dickinson,DIK,871
2020,12,Dickinson,DIK,925
2021,1,Dickinson,DIK,618
2021,2,Dickinson,DIK,569
2021,3,Dickinson,DIK,685
2021,4,Dickinson,DIK,1282
2021,5,Dickinson,DIK,1502
2021,6,Dickinson,DIK,1735
2021,7,Dickinson,DIK,1860
2021,8,Dickinson,DIK,1699
2021,9,Dickinson,DIK,1625
2021,10,Dickinson,DIK,2052
2021,11,Dickinson,DIK,1646
2021,12,Dickinson,DIK,2096
2022,1,Dickinson,DIK,1569
2022,2,Dickinson,DIK,1457
2022,3,Dickinson,DIK,1740
2022,4,Dickinson,DIK,1492
2022,5,Dickinson,DIK,1851
2022,6,Dickinson,DIK,1834
2022,7,Dickinson,DIK,1985
2022,8,Dickinson,DIK,2031
2022,9,Dickinson,DIK,2058
2022,10,Dickinson,DIK,2131
2022,11,Dickinson,DIK,1909
2022,12,Dickinson,DIK,1550
2023,1,Dickinson,DIK,1792
2023,2,Dickinson,DIK,1738
2023,3,Dickinson,DIK,1958
2023,4,Dickinson,DIK,2014
2023,5,Dickinson,DIK,2183
2023,6,Dickinson,DIK,1955
2023,7,Dickinson,DIK,2057
2023,8,Dickinson,DIK,2054
2023,9,Dickinson,DIK,2078
2023,10,Dickinson,DIK,1978
2023,11,Dickinson,DIK,2205
2023,12,Dickinson,DIK,2140
2024,1,Dickinson,DIK,1738
2024,2,Dickinson,DIK,1958
2024,3,Dickinson,DIK,2215
2024,4,Dickinson,DIK,2422
2024,5,Dickinson,DIK,2304
2024,6,Dickinson,DIK,2152
2024,7,Dickinson,DIK,2238
2024,8,Dickinson,DIK,2271
2024,9,Dickinson,DIK,2140
2024,10,Dickinson,DIK,2489
2024,11,Dickinson,DIK,1981
2024,12,Dickinson,DIK,2168
2025,1,Dickinson,DIK,2030
2025,2,Dickinson,DIK,1752
2025,3,Dickinson,DIK,1966
2025,4,Dickinson,DIK,1985
2025,5,Dickinson,DIK,2281
2025,6,Dickinson,DIK,2077
2025,7,Dickinson,DIK,2246
2025,8,Dickinson,DIK,2157
2025,9,Dickinson,DIK,2133
2025,10,Dickinson,DIK,2212
2025,11,Dickinson,DIK,1949
2025,12,Dickinson,DIK,2226
2026,4,Dickinson,DIK,1804
2026,5,Dickinson,DIK,1921
2026,6,Dickinson,DIK,1990
2026,7,Dickinson,DIK,2264
2016,1,Devils Lake,DVL,390
2016,2,Devils Lake,DVL,612
2016,3,Devils Lake,DVL,566
2016,8,Devils Lake,DVL,592
2016,9,Devils Lake,DVL,486
2016,10,Devils Lake,DVL,497
2016,11,Devils Lake,DVL,470
2016,12,Devils Lake,DVL,547
2017,1,Devils Lake,DVL,591
2017,2,Devils Lake,DVL,553
2017,3,Devils Lake,DVL,633
2017,4,Devils Lake,DVL,552
2017,5,Devils Lake,DVL,466
2017,6,Devils Lake,DVL,652
2017,7,Devils Lake,DVL,680
2017,8,Devils Lake,DVL,566
2017,9,Devils Lake,DVL,412
2017,10,Devils Lake,DVL,476
2017,11,Devils Lake,DVL,523
2017,12,Devils Lake,DVL,540
2018,1,Devils Lake,DVL,478
2018,2,Devils Lake,DVL,518
2018,3,Devils Lake,DVL,533
2018,4,Devils Lake,DVL,419
2018,5,Devils Lake,DVL,520
2018,6,Devils Lake,DVL,551
2018,7,Devils Lake,DVL,752
2018,8,Devils Lake,DVL,658
2018,9,Devils Lake,DVL,410
2018,10,Devils Lake,DVL,633
2018,11,Devils Lake,DVL,580
2018,12,Devils Lake,DVL,632
2019,1,Devils Lake,DVL,475
2019,2,Devils Lake,DVL,454
2019,3,Devils Lake,DVL,466
2019,4,Devils Lake,DVL,504
2019,5,Devils Lake,DVL,548
2019,6,Devils Lake,DVL,564
2019,7,Devils Lake,DVL,873
2019,8,Devils Lake,DVL,657
2019,9,Devils Lake,DVL,563
2019,10,Devils Lake,DVL,627
2019,11,Devils Lake,DVL,586
2019,12,Devils Lake,DVL,656
2020,1,Devils Lake,DVL,612
2020,2,Devils Lake,DVL,558
2020,3,Devils Lake,DVL,357
2020,4,Devils Lake,DVL,14
2020,5,Devils Lake,DVL,64
2020,6,Devils Lake,DVL,181
2020,7,Devils Lake,DVL,431
2020,8,Devils Lake,DVL,390
2020,9,Devils Lake,DVL,277
2020,10,Devils Lake,DVL,317
2020,11,Devils Lake,DVL,287
2020,12,Devils Lake,DVL,377
2021,1,Devils Lake,DVL,266
2021,2,Devils Lake,DVL,307
2021,3,Devils Lake,DVL,508
2021,4,Devils Lake,DVL,499
2021,5,Devils Lake,DVL,496
2021,6,Devils Lake,DVL,587
2021,7,Devils Lake,DVL,838
2021,8,Devils Lake,DVL,622
2021,9,Devils Lake,DVL,504
2021,10,Devils Lake,DVL,651
2021,11,Devils Lake,DVL,622
2021,12,Devils Lake,DVL,681
2022,1,Devils Lake,DVL,502
2022,2,Devils Lake,DVL,438
2022,3,Devils Lake,DVL,665
2022,4,Devils Lake,DVL,538
2022,5,Devils Lake,DVL,518
2022,6,Devils Lake,DVL,596
2022,7,Devils Lake,DVL,721
2022,8,Devils Lake,DVL,586
2022,9,Devils Lake,DVL,548
2022,10,Devils Lake,DVL,665
2022,11,Devils Lake,DVL,606
2022,12,Devils Lake,DVL,498
2023,1,Devils Lake,DVL,463
2023,2,Devils Lake,DVL,401
2023,3,Devils Lake,DVL,681
2023,4,Devils Lake,DVL,554
2023,5,Devils Lake,DVL,657
2023,6,Devils Lake,DVL,792
2023,7,Devils Lake,DVL,1032
2023,8,Devils Lake,DVL,681
2023,9,Devils Lake,DVL,604
2023,10,Devils Lake,DVL,714
2023,11,Devils Lake,DVL,749
2023,12,Devils Lake,DVL,759
2024,1,Devils Lake,DVL,470
2024,2,Devils Lake,DVL,681
2024,3,Devils Lake,DVL,801
2024,4,Devils Lake,DVL,635
2024,5,Devils Lake,DVL,947
2024,6,Devils Lake,DVL,887
2024,7,Devils Lake,DVL,1050
2024,8,Devils Lake,DVL,881
2024,9,Devils Lake,DVL,699
2024,10,Devils Lake,DVL,785
2024,11,Devils Lake,DVL,845
2024,12,Devils Lake,DVL,857
2025,1,Devils Lake,DVL,644
2025,2,Devils Lake,DVL,634
2025,3,Devils Lake,DVL,725
2025,4,Devils Lake,DVL,734
2025,5,Devils Lake,DVL,773
2025,6,Devils Lake,DVL,905
2025,7,Devils Lake,DVL,1275
2025,8,Devils Lake,DVL,946
2025,9,Devils Lake,DVL,752
2025,10,Devils Lake,DVL,988
2025,11,Devils Lake,DVL,975
2025,12,Devils Lake,DVL,1182
2026,4,Devils Lake,DVL,929
2026,5,Devils Lake,DVL,1102
2026,6,Devils Lake,DVL,1044
2026,7,Devils Lake,DVL,1521
2016,1,Fargo,FAR,33828
2016,2,Fargo,FAR,34497
2016,3,Fargo,FAR,36953
2016,8,Fargo,FAR,33428
2016,9,Fargo,FAR,30247
2016,10,Fargo,FAR,33292
2016,11,Fargo,FAR,31086
2016,12,Fargo,FAR,34841
2017,1,Fargo,FAR,33580
2017,2,Fargo,FAR,34647
2017,3,Fargo,FAR,39422
2017,4,Fargo,FAR,28902
2017,5,Fargo,FAR,30412
2017,6,Fargo,FAR,32670
2017,7,Fargo,FAR,35291
2017,8,Fargo,FAR,32355
2017,9,Fargo,FAR,27656
2017,10,Fargo,FAR,32394
2017,11,Fargo,FAR,31404
2017,12,Fargo,FAR,34156
2018,1,Fargo,FAR,34022
2018,2,Fargo,FAR,36655
2018,3,Fargo,FAR,40169
2018,4,Fargo,FAR,31867
2018,5,Fargo,FAR,32088
2018,6,Fargo,FAR,34897
2018,7,Fargo,FAR,38760
2018,8,Fargo,FAR,35955
2018,9,Fargo,FAR,29825
2018,10,Fargo,FAR,35847
2018,11,Fargo,FAR,35683
2018,12,Fargo,FAR,36422
2019,1,Fargo,FAR,37000
2019,2,Fargo,FAR,38035
2019,3,Fargo,FAR,42630
2019,4,Fargo,FAR,35402
2019,5,Fargo,FAR,37796
2019,6,Fargo,FAR,40003
2019,7,Fargo,FAR,43437
2019,8,Fargo,FAR,39083
2019,9,Fargo,FAR,34135
2019,10,Fargo,FAR,39968
2019,11,Fargo,FAR,37823
2019,12,Fargo,FAR,46021
2020,1,Fargo,FAR,43556
2020,2,Fargo,FAR,44946
2020,3,Fargo,FAR,25618
2020,4,Fargo,FAR,1555
2020,5,Fargo,FAR,5190
2020,6,Fargo,FAR,9005
2020,7,Fargo,FAR,16219
2020,8,Fargo,FAR,18793
2020,9,Fargo,FAR,16449
2020,10,Fargo,FAR,19591
2020,11,Fargo,FAR,17766
2020,12,Fargo,FAR,19820
2021,1,Fargo,FAR,18402
2021,2,Fargo,FAR,23626
2021,3,Fargo,FAR,33492
2021,4,Fargo,FAR,27119
2021,5,Fargo,FAR,29503
2021,6,Fargo,FAR,36715
2021,7,Fargo,FAR,42871
2021,8,Fargo,FAR,38082
2021,9,Fargo,FAR,32665
2021,10,Fargo,FAR,38873
2021,11,Fargo,FAR,37911
2021,12,Fargo,FAR,39913
2022,1,Fargo,FAR,34470
2022,2,Fargo,FAR,37009
2022,3,Fargo,FAR,43306
2022,4,Fargo,FAR,33736
2022,5,Fargo,FAR,35607
2022,6,Fargo,FAR,36552
2022,7,Fargo,FAR,39734
2022,8,Fargo,FAR,38683
2022,9,Fargo,FAR,35213
2022,10,Fargo,FAR,39578
2022,11,Fargo,FAR,38014
2022,12,Fargo,FAR,43610
2023,1,Fargo,FAR,43705
2023,2,Fargo,FAR,42028
2023,3,Fargo,FAR,48032
2023,4,Fargo,FAR,39680
2023,5,Fargo,FAR,40969
2023,6,Fargo,FAR,40174
2023,7,Fargo,FAR,44902
2023,8,Fargo,FAR,43871
2023,9,Fargo,FAR,41452
2023,10,Fargo,FAR,43332
2023,11,Fargo,FAR,42271
2023,12,Fargo,FAR,45655
2024,1,Fargo,FAR,42726
2024,2,Fargo,FAR,43691
2024,3,Fargo,FAR,44414
2024,4,Fargo,FAR,41466
2024,5,Fargo,FAR,44547
2024,6,Fargo,FAR,45301
2024,7,Fargo,FAR,48344
2024,8,Fargo,FAR,48514
2024,9,Fargo,FAR,43663
2024,10,Fargo,FAR,48627
2024,11,Fargo,FAR,45094
2024,12,Fargo,FAR,50400
2025,1,Fargo,FAR,48037
2025,2,Fargo,FAR,47971
2025,3,Fargo,FAR,56399
2025,4,Fargo,FAR,47232
2025,5,Fargo,FAR,47983
2025,6,Fargo,FAR,47898
2025,7,Fargo,FAR,54008
2025,8,Fargo,FAR,50867
2025,9,Fargo,FAR,46258
2025,10,Fargo,FAR,50846
2025,11,Fargo,FAR,43182
2025,12,Fargo,FAR,49861
2026,4,Fargo,FAR,49544
2026,5,Fargo,FAR,49603
2026,6,Fargo,FAR,50959
2026,7,Fargo,FAR,56359
2016,1,Grand Forks,GFK,10661
2016,2,Grand Forks,GFK,12394
2016,3,Grand Forks,GFK,14317
2016,8,Grand Forks,GFK,9322
2016,9,Grand Forks,GFK,8853
2016,10,Grand Forks,GFK,10341
2016,11,Grand Forks,GFK,10260
2016,12,Grand Forks,GFK,11638
2017,1,Grand Forks,GFK,9936
2017,2,Grand Forks,GFK,10521
2017,3,Grand Forks,GFK,11539
2017,4,Grand Forks,GFK,8507
2017,5,Grand Forks,GFK,8722
2017,6,Grand Forks,GFK,9036
2017,7,Grand Forks,GFK,9056
2017,8,Grand Forks,GFK,9114
2017,9,Grand Forks,GFK,8446
2017,10,Grand Forks,GFK,9650
2017,11,Grand Forks,GFK,9488
2017,12,Grand Forks,GFK,10692
2018,1,Grand Forks,GFK,9272
2018,2,Grand Forks,GFK,9460
2018,3,Grand Forks,GFK,10367
2018,4,Grand Forks,GFK,8138
2018,5,Grand Forks,GFK,8776
2018,6,Grand Forks,GFK,8648
2018,7,Grand Forks,GFK,9525
2018,8,Grand Forks,GFK,9493
2018,9,Grand Forks,GFK,8164
2018,10,Grand Forks,GFK,10364
2018,11,Grand Forks,GFK,10095
2018,12,Grand Forks,GFK,9725
2019,1,Grand Forks,GFK,9227
