station,name,route,county,year,month,madt,weekday_adt,weekend_adt,days_monitored,report
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,1,2384,2653,1728,31,January2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,2,2581,2794,1970,29,February2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,3,2553,2918,1677,30,March2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,4,2967,3244,2255,30,April2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,5,3272,3524,2587,31,May2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,6,3513,3822,2790,30,June2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,7,3513,3794,2905,31,July2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,8,3728,3995,3022,31,August2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,9,3667,3919,2941,30,September2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,10,3411,3699,2648,31,October2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,11,2861,3091,2225,29,November2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2024,12,2621,2729,2173,31,December2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,1,2463,2666,1826,31,January2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,2,2474,2605,1971,28,February2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,3,2752,3024,2080,30,March2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,4,2919,3227,2196,30,April2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,5,3191,3444,2533,31,May2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,6,3594,3931,2776,30,June2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,7,3494,3839,2806,31,July2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,8,3636,3863,2990,31,August2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,9,3549,3762,2904,30,September2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,10,3255,3483,2645,31,October2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,11,2770,3043,2239,28,November2025
00221,Fairfield (US 85 north of I-94),US 85,Stark,2025,12,2393,2604,1891,31,December2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,1,6247,6437,5505,31,January2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,2,6936,6904,6582,29,February2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,3,6820,7042,5805,27,March2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,5,9265,9155,8917,27,May2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,6,10178,10077,9852,27,June2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,7,10601,10609,10388,25,July2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,8,10516,10247,10511,26,August2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,9,9863,9576,9708,29,September2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,10,9187,8957,9018,28,October2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,11,7999,7894,7672,29,November2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2024,12,7109,6737,7257,31,December2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,1,6388,6483,5641,30,January2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,2,6673,6584,6263,28,February2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,3,7794,7729,7347,29,March2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,5,9308,9256,8808,29,May2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,6,10566,10496,10231,26,June2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,7,10605,10803,10113,26,July2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,8,10574,10352,10377,26,August2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,9,10027,9840,9690,27,September2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,10,9447,9299,9214,29,October2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,11,8297,8358,7897,28,November2025
00223,New Salem (I-94 west of Bismarck),I-94,Morton,2025,12,6802,6825,6470,30,December2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,1,2876,2934,2697,29,January2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,2,3260,3187,3280,27,February2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,3,3372,3401,3145,30,March2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,4,4116,3968,4334,22,April2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,5,5169,5052,5156,29,May2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,6,6708,6338,7174,27,June2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,7,7273,6887,7830,30,July2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,8,7247,6754,7893,28,August2025
00279,Painted Canyon (I-94 at Medora),I-94,Billings,2024,9,6428,6010,6954,28,September2025
