park,park_name,role,state,year,month,visits
BADL,Badlands NP,control,SD,1979,1,16992
BADL,Badlands NP,control,SD,1979,2,15887
BADL,Badlands NP,control,SD,1979,3,19375
BADL,Badlands NP,control,SD,1979,4,26056
BADL,Badlands NP,control,SD,1979,5,54710
BADL,Badlands NP,control,SD,1979,6,138423
BADL,Badlands NP,control,SD,1979,7,208498
BADL,Badlands NP,control,SD,1979,8,194501
BADL,Badlands NP,control,SD,1979,9,91880
BADL,Badlands NP,control,SD,1979,10,52486
BADL,Badlands NP,control,SD,1979,11,21169
BADL,Badlands NP,control,SD,1979,12,18023
BADL,Badlands NP,control,SD,1980,1,18025
BADL,Badlands NP,control,SD,1980,2,15890
BADL,Badlands NP,control,SD,1980,3,18203
BADL,Badlands NP,control,SD,1980,4,26416
BADL,Badlands NP,control,SD,1980,5,64454
BADL,Badlands NP,control,SD,1980,6,167212
BADL,Badlands NP,control,SD,1980,7,240671
BADL,Badlands NP,control,SD,1980,8,216200
BADL,Badlands NP,control,SD,1980,9,99345
BADL,Badlands NP,control,SD,1980,10,46812
BADL,Badlands NP,control,SD,1980,11,23410
BADL,Badlands NP,control,SD,1980,12,16014
BADL,Badlands NP,control,SD,1981,1,16460
BADL,Badlands NP,control,SD,1981,2,15772
BADL,Badlands NP,control,SD,1981,3,20524
BADL,Badlands NP,control,SD,1981,4,34168
BADL,Badlands NP,control,SD,1981,5,73357
BADL,Badlands NP,control,SD,1981,6,192909
BADL,Badlands NP,control,SD,1981,7,299383
BADL,Badlands NP,control,SD,1981,8,254029
BADL,Badlands NP,control,SD,1981,9,182838
BADL,Badlands NP,control,SD,1981,10,52592
BADL,Badlands NP,control,SD,1981,11,20636
BADL,Badlands NP,control,SD,1981,12,13284
BADL,Badlands NP,control,SD,1982,1,12264
BADL,Badlands NP,control,SD,1982,2,15202
BADL,Badlands NP,control,SD,1982,3,17899
BADL,Badlands NP,control,SD,1982,4,26518
BADL,Badlands NP,control,SD,1982,5,69073
BADL,Badlands NP,control,SD,1982,6,188644
BADL,Badlands NP,control,SD,1982,7,270076
BADL,Badlands NP,control,SD,1982,8,242958
BADL,Badlands NP,control,SD,1982,9,110020
BADL,Badlands NP,control,SD,1982,10,45298
BADL,Badlands NP,control,SD,1982,11,19208
BADL,Badlands NP,control,SD,1982,12,13324
BADL,Badlands NP,control,SD,1983,1,13843
BADL,Badlands NP,control,SD,1983,2,17445
BADL,Badlands NP,control,SD,1983,3,18776
BADL,Badlands NP,control,SD,1983,4,25203
BADL,Badlands NP,control,SD,1983,5,65184
BADL,Badlands NP,control,SD,1983,6,186972
BADL,Badlands NP,control,SD,1983,7,268962
BADL,Badlands NP,control,SD,1983,8,223451
BADL,Badlands NP,control,SD,1983,9,122929
BADL,Badlands NP,control,SD,1983,10,48777
BADL,Badlands NP,control,SD,1983,11,22014
BADL,Badlands NP,control,SD,1983,12,13425
BADL,Badlands NP,control,SD,1984,1,13148
BADL,Badlands NP,control,SD,1984,2,15927
BADL,Badlands NP,control,SD,1984,3,16203
BADL,Badlands NP,control,SD,1984,4,24789
BADL,Badlands NP,control,SD,1984,5,75496
BADL,Badlands NP,control,SD,1984,6,202728
BADL,Badlands NP,control,SD,1984,7,298925
BADL,Badlands NP,control,SD,1984,8,238997
BADL,Badlands NP,control,SD,1984,9,139742
BADL,Badlands NP,control,SD,1984,10,51005
BADL,Badlands NP,control,SD,1984,11,22026
BADL,Badlands NP,control,SD,1984,12,14689
BADL,Badlands NP,control,SD,1985,1,13252
BADL,Badlands NP,control,SD,1985,2,18072
BADL,Badlands NP,control,SD,1985,3,16644
BADL,Badlands NP,control,SD,1985,4,33185
BADL,Badlands NP,control,SD,1985,5,77782
BADL,Badlands NP,control,SD,1985,6,188172
BADL,Badlands NP,control,SD,1985,7,199978
BADL,Badlands NP,control,SD,1985,8,222573
BADL,Badlands NP,control,SD,1985,9,104192
BADL,Badlands NP,control,SD,1985,10,50506
BADL,Badlands NP,control,SD,1985,11,13811
BADL,Badlands NP,control,SD,1985,12,12075
BADL,Badlands NP,control,SD,1986,1,13173
BADL,Badlands NP,control,SD,1986,2,12457
BADL,Badlands NP,control,SD,1986,3,18332
BADL,Badlands NP,control,SD,1986,4,28062
BADL,Badlands NP,control,SD,1986,5,81991
BADL,Badlands NP,control,SD,1986,6,168772
BADL,Badlands NP,control,SD,1986,7,262462
BADL,Badlands NP,control,SD,1986,8,249847
BADL,Badlands NP,control,SD,1986,9,115800
BADL,Badlands NP,control,SD,1986,10,41512
BADL,Badlands NP,control,SD,1986,11,17110
BADL,Badlands NP,control,SD,1986,12,16112
BADL,Badlands NP,control,SD,1987,1,14852
BADL,Badlands NP,control,SD,1987,2,15034
BADL,Badlands NP,control,SD,1987,3,16654
BADL,Badlands NP,control,SD,1987,4,33749
BADL,Badlands NP,control,SD,1987,5,90443
BADL,Badlands NP,control,SD,1987,6,205798
BADL,Badlands NP,control,SD,1987,7,282231
BADL,Badlands NP,control,SD,1987,8,294355
BADL,Badlands NP,control,SD,1987,9,127609
BADL,Badlands NP,control,SD,1987,10,52398
BADL,Badlands NP,control,SD,1987,11,24631
BADL,Badlands NP,control,SD,1987,12,16644
BADL,Badlands NP,control,SD,1988,1,13580
BADL,Badlands NP,control,SD,1988,2,15719
BADL,Badlands NP,control,SD,1988,3,20982
BADL,Badlands NP,control,SD,1988,4,35432
BADL,Badlands NP,control,SD,1988,5,97143
BADL,Badlands NP,control,SD,1988,6,212076
BADL,Badlands NP,control,SD,1988,7,281371
BADL,Badlands NP,control,SD,1988,8,209496
BADL,Badlands NP,control,SD,1988,9,126459
BADL,Badlands NP,control,SD,1988,10,54669
BADL,Badlands NP,control,SD,1988,11,27792
BADL,Badlands NP,control,SD,1988,12,15321
BADL,Badlands NP,control,SD,1989,1,15639
BADL,Badlands NP,control,SD,1989,2,15150
BADL,Badlands NP,control,SD,1989,3,23466
BADL,Badlands NP,control,SD,1989,4,32748
BADL,Badlands NP,control,SD,1989,5,89411
BADL,Badlands NP,control,SD,1989,6,229324
BADL,Badlands NP,control,SD,1989,7,305833
BADL,Badlands NP,control,SD,1989,8,284663
BADL,Badlands NP,control,SD,1989,9,140774
BADL,Badlands NP,control,SD,1989,10,60704
BADL,Badlands NP,control,SD,1989,11,23860
BADL,Badlands NP,control,SD,1989,12,16384
BADL,Badlands NP,control,SD,1990,1,17072
BADL,Badlands NP,control,SD,1990,2,16510
BADL,Badlands NP,control,SD,1990,3,25857
BADL,Badlands NP,control,SD,1990,4,38693
BADL,Badlands NP,control,SD,1990,5,95403
BADL,Badlands NP,control,SD,1990,6,241925
BADL,Badlands NP,control,SD,1990,7,337849
BADL,Badlands NP,control,SD,1990,8,304124
BADL,Badlands NP,control,SD,1990,9,135424
BADL,Badlands NP,control,SD,1990,10,66670
BADL,Badlands NP,control,SD,1990,11,26415
BADL,Badlands NP,control,SD,1990,12,20533
BADL,Badlands NP,control,SD,1991,1,16997
BADL,Badlands NP,control,SD,1991,2,18277
