year,month,vehicles
1992,3,573
1992,4,4496
1992,5,8443
1992,6,17623
1992,7,23602
1992,8,21154
1992,9,11091
1992,10,6257
1992,11,1394
1993,4,4232
1993,5,8612
1993,6,17009
1993,7,21470
1993,8,23035
1993,9,11544
1993,10,6940
1993,11,1379
1994,4,4286
1994,5,8371
1994,6,16960
1994,7,25045
1994,8,20873
1994,9,11567
1994,10,6536
1994,11,1642
1995,4,3546
1995,5,9108
1995,6,13722
1995,7,20766
1995,8,24606
1995,9,14634
1995,10,7303
1995,11,2085
1996,4,3366
1996,5,6793
1996,6,13284
1996,7,20821
1996,8,23942
1996,9,11609
1996,10,6048
1996,11,2235
1997,3,50
1997,4,2937
1997,5,7183
1997,6,15257
1997,7,20482
1997,8,21429
1997,9,13388
1997,10,7492
1997,11,1744
1998,3,59
1998,4,4437
1998,5,7777
1998,6,14717
1998,7,21664
1998,8,21526
1998,9,13435
1998,10,7074
1998,11,2244
1999,3,225
1999,4,4523
1999,5,7044
1999,6,16151
1999,7,21039
1999,8,21210
1999,9,12750
1999,10,6988
1999,11,3126
2000,3,583
2000,4,4557
2000,5,11415
2000,6,13920
2000,7,25564
2000,8,20311
2000,9,15123
2000,10,7449
2000,11,2792
2001,4,5139
2001,5,9396
2001,6,16691
2001,7,24824
2001,8,21311
2001,9,15159
2001,10,8718
2001,11,2898
2002,4,5179
2002,5,9669
2002,6,18562
2002,7,24176
2002,8,17344
2002,9,15903
2002,10,7375
2002,11,2877
2003,4,5560
2003,5,9066
2003,6,15043
2003,7,23585
2003,8,23364
2003,9,15461
2003,10,9713
2003,11,2659
2004,4,3151
2004,5,9283
2004,6,13998
2004,7,22033
2004,8,24351
2004,9,13535
2004,10,8917
2004,11,3644
2005,4,6188
2005,5,8745
2005,6,16514
2005,7,22048
2005,8,23260
2005,9,12447
2005,10,8192
2005,11,3514
2006,4,3140
2006,5,9031
2006,6,17044
2006,7,22091
2006,8,21285
2006,9,11100
2006,10,8554
2007,4,4664
2007,5,8905
2007,6,16874
2007,7,22532
2007,8,21285
2007,9,12006
2007,10,8672
2007,11,709
2008,4,10275
2008,5,11782
2008,6,15710
2008,7,22107
2008,8,18098
2008,9,8751
2008,10,21675
2008,11,1914
2009,4,8014
2009,5,16966
2009,6,17909
2009,7,25611
2009,8,20632
2009,9,12251
2009,10,17622
2009,11,2507
2010,4,9985
2010,5,16980
2010,6,24290
2010,7,22230
2010,8,19466
2010,9,11469
2010,10,19743
2010,11,2568
2011,4,4979
2011,5,12182
2011,6,15728
2011,7,21883
2011,8,20643
2011,9,11987
2011,10,12569
2011,11,2464
2012,4,7492
2012,5,11423
2012,6,17893
2012,7,21996
2012,8,20460
2012,9,11686
2012,10,13456
2012,11,2987
2013,5,3763
2013,6,17485
2013,7,23496
2013,8,20017
2013,9,11053
2013,10,6533
2014,5,12051
2014,6,18983
2014,7,21648
2014,8,19584
2014,9,12956
2014,10,7726
2014,11,327
2015,5,5491
2015,6,18876
2015,7,22257
2015,8,20034
2015,9,13109
2015,10,17013
2016,5,14426
2016,6,22213
2016,7,30099
2016,8,25621
2016,9,18855
2016,10,18714
2017,5,18222
2017,6,17600
2017,7,29205
2017,8,31291
2017,9,15701
2017,10,9417
2018,5,15985
2018,6,23012
2018,7,30857
2018,8,26024
2018,9,18563
2018,10,8113
2019,5,15586
2019,6,24670
2019,7,25652
2019,8,20467
2019,9,18506
2019,10,7131
2020,6,20960
2020,7,16977
2020,8,16977
2020,9,10613
2020,10,7846
2021,4,391
2021,5,14808
2021,6,25889
2021,7,29799
2021,8,27232
2021,9,21203
2021,10,11220
2021,11,39
2022,5,12069
2022,6,20813
2022,7,25277
2022,8,22462
2022,9,18513
2022,10,10500
2023,4,783
2023,5,14383
2023,6,24524
2023,7,29251
2023,8,25785
2023,9,18585
2023,10,13457
2024,5,12913
2024,6,23468
2024,7,23968
2024,8,26180
2024,9,15771
2024,10,9508
2025,5,13514
2025,6,20705
2025,7,23459
2025,8,22672
2025,9,17177
2025,10,9029
2025,11,543
2026,5,9722
2026,6,19111
2026,7,22800
2026,8,24671
