park,year,category,sector,value
BADL,2012,Economic Output,Total,60151236.0
BADL,2012,Jobs,Total,779.0
BADL,2012,Labor Income,Total,18171123.0
BADL,2012,Value Added,Total,32877018.0
BADL,2012,Visitor Spending,Total,52145435.0
BADL,2012,Visits,Total,883406.0
BADL,2013,Economic Output,Total,61862487.0
BADL,2013,Jobs,Total,793.0
BADL,2013,Labor Income,Total,18611846.0
BADL,2013,Value Added,Total,33665623.0
BADL,2013,Visitor Spending,Total,53653606.0
BADL,2013,Visits,Total,892373.0
BADL,2014,Economic Output,Camping,1179307.0
BADL,2014,Economic Output,Gas,839859.0
BADL,2014,Economic Output,Groceries,977097.0
BADL,2014,Economic Output,Lodging,18312328.0
BADL,2014,Economic Output,Recreation Industries,4061022.0
BADL,2014,Economic Output,Restaurants,10240566.0
BADL,2014,Economic Output,Retail,2353601.0
BADL,2014,Economic Output,Secondary Effects,25163444.0
BADL,2014,Economic Output,Transportation,3057674.0
BADL,2014,Jobs,Camping,17.0
BADL,2014,Jobs,Gas,13.0
BADL,2014,Jobs,Groceries,16.0
BADL,2014,Jobs,Lodging,237.0
BADL,2014,Jobs,Recreation Industries,82.0
BADL,2014,Jobs,Restaurants,223.0
BADL,2014,Jobs,Retail,58.0
BADL,2014,Jobs,Secondary Effects,201.0
BADL,2014,Jobs,Transportation,27.0
BADL,2014,Labor Income,Camping,485244.0
BADL,2014,Labor Income,Gas,339779.0
BADL,2014,Labor Income,Groceries,403763.0
BADL,2014,Labor Income,Lodging,5224181.0
BADL,2014,Labor Income,Recreation Industries,1339398.0
BADL,2014,Labor Income,Restaurants,4000076.0
BADL,2014,Labor Income,Retail,1385277.0
BADL,2014,Labor Income,Secondary Effects,6991080.0
BADL,2014,Labor Income,Transportation,714705.0
BADL,2014,Value Added,Camping,750489.0
BADL,2014,Value Added,Gas,438959.0
BADL,2014,Value Added,Groceries,603071.0
BADL,2014,Value Added,Lodging,9914284.0
BADL,2014,Value Added,Recreation Industries,1873353.0
BADL,2014,Value Added,Restaurants,5320005.0
BADL,2014,Value Added,Retail,1313717.0
BADL,2014,Value Added,Secondary Effects,12571221.0
BADL,2014,Value Added,Transportation,1622581.0
BADL,2014,Visitor Spending,Camping,1179307.0
BADL,2014,Visitor Spending,Gas,7776121.0
BADL,2014,Visitor Spending,Groceries,3502141.0
BADL,2014,Visitor Spending,Lodging,18312328.0
BADL,2014,Visitor Spending,Recreation Industries,4061022.0
BADL,2014,Visitor Spending,Restaurants,10240566.0
BADL,2014,Visitor Spending,Retail,5183762.0
BADL,2014,Visitor Spending,Secondary Effects,0.0
BADL,2014,Visitor Spending,Transportation,3057674.0
BADL,2014,Visits,Total,868094.0
BADL,2015,Economic Output,Camping,1348046.0
BADL,2015,Economic Output,Gas,974831.0
BADL,2015,Economic Output,Groceries,1129254.0
BADL,2015,Economic Output,Lodging,21630163.0
BADL,2015,Economic Output,Recreation Industries,4766515.0
BADL,2015,Economic Output,Restaurants,11975207.0
BADL,2015,Economic Output,Retail,2731029.0
BADL,2015,Economic Output,Secondary Effects,29418793.0
BADL,2015,Economic Output,Transportation,3564064.0
BADL,2015,Jobs,Camping,20.0
BADL,2015,Jobs,Gas,15.0
BADL,2015,Jobs,Groceries,19.0
BADL,2015,Jobs,Lodging,277.0
BADL,2015,Jobs,Recreation Industries,96.0
BADL,2015,Jobs,Restaurants,261.0
BADL,2015,Jobs,Retail,66.0
BADL,2015,Jobs,Secondary Effects,230.0
BADL,2015,Jobs,Transportation,31.0
BADL,2015,Labor Income,Camping,548853.0
BADL,2015,Labor Income,Gas,398489.0
BADL,2015,Labor Income,Groceries,471516.0
BADL,2015,Labor Income,Lodging,6105943.0
BADL,2015,Labor Income,Recreation Industries,1559868.0
BADL,2015,Labor Income,Restaurants,4664930.0
BADL,2015,Labor Income,Retail,1624104.0
BADL,2015,Labor Income,Secondary Effects,8156821.0
BADL,2015,Labor Income,Transportation,833172.0
BADL,2015,Value Added,Camping,848869.0
BADL,2015,Value Added,Gas,514806.0
BADL,2015,Value Added,Groceries,704269.0
BADL,2015,Value Added,Lodging,11587664.0
BADL,2015,Value Added,Recreation Industries,2181715.0
BADL,2015,Value Added,Restaurants,6204244.0
BADL,2015,Value Added,Retail,1540207.0
BADL,2015,Value Added,Secondary Effects,14667115.0
BADL,2015,Value Added,Transportation,1889428.0
BADL,2015,Visitor Spending,Camping,1348046.0
BADL,2015,Visitor Spending,Gas,8948651.0
BADL,2015,Visitor Spending,Groceries,4013087.0
BADL,2015,Visitor Spending,Lodging,21630162.0
BADL,2015,Visitor Spending,Recreation Industries,4766515.0
BADL,2015,Visitor Spending,Restaurants,11975207.0
BADL,2015,Visitor Spending,Retail,5963445.0
BADL,2015,Visitor Spending,Secondary Effects,0.0
BADL,2015,Visitor Spending,Transportation,3564064.0
BADL,2015,Visits,Total,989354.0
BADL,2016,Economic Output,Camping,1435309.0
BADL,2016,Economic Output,Gas,997482.0
BADL,2016,Economic Output,Groceries,1160021.0
BADL,2016,Economic Output,Lodging,22269149.0
BADL,2016,Economic Output,Recreation Industries,4913845.0
BADL,2016,Economic Output,Restaurants,12263293.0
BADL,2016,Economic Output,Retail,2794203.0
BADL,2016,Economic Output,Secondary Effects,30156973.0
BADL,2016,Economic Output,Transportation,3650251.0
BADL,2016,Jobs,Camping,21.0
BADL,2016,Jobs,Gas,15.0
BADL,2016,Jobs,Groceries,19.0
BADL,2016,Jobs,Lodging,282.0
BADL,2016,Jobs,Recreation Industries,98.0
BADL,2016,Jobs,Restaurants,266.0
BADL,2016,Jobs,Retail,67.0
BADL,2016,Jobs,Secondary Effects,231.0
BADL,2016,Jobs,Transportation,32.0
BADL,2016,Labor Income,Camping,578249.0
BADL,2016,Labor Income,Gas,411992.0
BADL,2016,Labor Income,Groceries,489426.0
BADL,2016,Labor Income,Lodging,6220350.0
BADL,2016,Labor Income,Recreation Industries,1595589.0
BADL,2016,Labor Income,Restaurants,4764167.0
BADL,2016,Labor Income,Retail,1678915.0
BADL,2016,Labor Income,Secondary Effects,8343753.0
BADL,2016,Labor Income,Transportation,853430.0
BADL,2016,Value Added,Camping,894334.0
BADL,2016,Value Added,Gas,532249.0
BADL,2016,Value Added,Groceries,731020.0
BADL,2016,Value Added,Lodging,11804784.0
BADL,2016,Value Added,Recreation Industries,2231677.0
BADL,2016,Value Added,Restaurants,6336227.0
BADL,2016,Value Added,Retail,1592186.0
BADL,2016,Value Added,Secondary Effects,15005246.0
BADL,2016,Value Added,Transportation,1933209.0
BADL,2016,Visitor Spending,Camping,1435309.0
BADL,2016,Visitor Spending,Gas,9078293.0
