facility,park,agency,year,month,reservations,nights,people,revenue,fy
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,6,5,0.0,16.0,260.0,2021
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,7,32,0.0,86.0,1176.0,2021
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,8,31,0.0,115.0,1379.0,2021
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,9,31,0.0,64.0,1048.0,2021
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,10,6,0.0,13.0,208.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2021,11,1,0.0,2.0,48.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,5,5,0.0,9.0,160.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,6,129,0.0,359.0,3578.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,7,142,0.0,364.0,3800.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,8,123,0.0,311.0,3668.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,9,68,0.0,138.0,2197.0,2022
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,10,18,0.0,36.0,656.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2022,11,1,0.0,3.0,88.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,3,3,0.0,11.0,84.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,4,5,0.0,12.0,140.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,5,64,0.0,131.0,1742.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,6,127,0.0,316.0,3728.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,7,142,0.0,367.0,4145.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,8,127,0.0,286.0,3708.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2023,9,18,0.0,37.0,415.0,2023
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2024,5,22,0.0,49.0,596.0,2024
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2024,6,127,0.0,328.0,3561.0,2024
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2024,7,128,0.0,356.0,3746.0,2024
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2024,8,127,0.0,285.0,3667.0,2024
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2024,9,33,0.0,61.0,924.0,2024
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2025,5,38,0.0,83.0,1002.0,2025
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2025,6,190,0.0,476.0,5388.0,2025
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2025,7,245,0.0,656.0,6931.0,2025
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2025,8,232,0.0,558.0,6998.0,2025
Buffalo Gap Campground,Dakota Prairie National Grasslands,USFS,2025,9,87,0.0,169.0,2691.5,2025
CCC Campground,Dakota Prairie National Grasslands,USFS,2021,6,1,0.0,1.0,18.0,2021
CCC Campground,Dakota Prairie National Grasslands,USFS,2021,8,4,0.0,10.0,72.0,2021
CCC Campground,Dakota Prairie National Grasslands,USFS,2021,9,1,0.0,2.0,28.0,2021
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,6,9,0.0,23.0,232.0,2022
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,7,10,0.0,19.0,250.0,2022
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,8,6,0.0,12.0,128.0,2022
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,9,8,0.0,14.0,164.0,2022
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,10,4,0.0,10.0,92.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2022,11,1,0.0,2.0,48.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,3,1,0.0,1.0,18.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,5,14,0.0,32.0,302.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,6,45,0.0,128.0,985.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,7,61,0.0,143.0,1285.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,8,51,0.0,126.0,1158.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2023,9,8,0.0,18.0,184.0,2023
CCC Campground,Dakota Prairie National Grasslands,USFS,2024,5,17,0.0,35.0,366.0,2024
CCC Campground,Dakota Prairie National Grasslands,USFS,2024,6,69,0.0,177.0,1511.0,2024
CCC Campground,Dakota Prairie National Grasslands,USFS,2024,7,52,0.0,125.0,579.0,2024
CCC Campground,Dakota Prairie National Grasslands,USFS,2024,8,26,0.0,65.0,0.0,2024
CCC Campground,Dakota Prairie National Grasslands,USFS,2024,9,3,0.0,6.0,18.0,2024
CCC Campground,Dakota Prairie National Grasslands,USFS,2025,5,44,0.0,108.0,961.0,2025
CCC Campground,Dakota Prairie National Grasslands,USFS,2025,6,97,0.0,233.0,1841.5,2025
CCC Campground,Dakota Prairie National Grasslands,USFS,2025,7,124,0.0,308.0,2602.5,2025
CCC Campground,Dakota Prairie National Grasslands,USFS,2025,8,167,0.0,397.0,3399.0,2025
CCC Campground,Dakota Prairie National Grasslands,USFS,2025,9,90,0.0,194.0,1663.0,2025
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2020,5,194,0.0,512.0,456.0,2020
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2020,6,503,0.0,1566.0,541.0,2020
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2020,7,675,0.0,2167.0,1128.0,2020
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2020,8,578,0.0,1728.0,892.0,2020
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2020,9,293,0.0,664.0,404.0,2020
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2021,5,26,0.0,157.0,1004.0,2021
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2021,6,106,0.0,489.0,2331.0,2021
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2021,7,814,0.0,2375.0,14724.0,2021
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2021,8,861,0.0,2370.0,14979.0,2021
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2021,9,680,0.0,1482.0,12170.0,2021
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2022,5,609,0.0,1420.0,11547.0,2022
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2022,6,835,0.0,2438.0,14683.0,2022
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2022,7,948,0.0,2854.0,16084.0,2022
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2022,8,884,0.0,2397.0,15108.0,2022
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2022,9,716,0.0,1623.0,12806.0,2022
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2023,5,553,0.0,1295.0,11296.0,2023
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2023,6,802,0.0,2157.0,14497.0,2023
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2023,7,918,0.0,2743.0,15657.0,2023
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2023,8,848,0.0,2283.0,14959.0,2023
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2023,9,734,0.0,1627.0,12801.0,2023
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2024,5,611,0.0,1298.0,11640.0,2024
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2024,6,781,0.0,2092.0,13703.0,2024
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2024,7,894,0.0,2528.0,14651.0,2024
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2024,8,813,0.0,2056.0,13673.0,2024
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2024,9,747,0.0,1509.0,11663.0,2024
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2025,5,411,0.0,892.0,10443.0,2025
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2025,6,771,0.0,2052.0,18862.0,2025
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2025,7,898,0.0,2573.0,20250.0,2025
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2025,8,814,0.0,2034.0,18540.0,2025
Cottonwood Campground,Theodore Roosevelt National Park,NPS,2025,9,718,0.0,1445.0,16130.0,2025
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2024,5,8,0.0,87.0,310.0,2024
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2024,6,22,0.0,233.0,860.0,2024
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2024,7,17,0.0,180.0,910.0,2024
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2024,8,25,0.0,252.0,940.0,2024
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2024,9,14,0.0,129.0,410.0,2024
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2025,5,3,0.0,42.0,250.0,2025
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2025,6,16,0.0,178.0,1300.0,2025
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2025,7,17,0.0,146.0,1300.0,2025
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2025,8,18,0.0,208.0,1470.0,2025
Cottonwood Group Site,Theodore Roosevelt National Park,NPS,2025,9,10,0.0,104.0,910.0,2025
Hankinson Hills Campground,Dakota Prairie National Grasslands,USFS,2025,9,3,0.0,5.0,100.0,2025
Jorgen's Hollow Campground,Dakota Prairie National Grasslands,USFS,2025,9,2,0.0,3.0,33.0,2025
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2020,6,3,0.0,87.0,0.0,2020
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2020,7,5,0.0,65.0,10.0,2020
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2020,8,3,0.0,65.0,0.0,2020
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2020,9,3,0.0,47.0,0.0,2020
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2021,5,9,0.0,99.0,430.0,2021
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2021,6,14,0.0,259.0,820.0,2021
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2021,7,15,0.0,168.0,840.0,2021
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2021,8,11,0.0,129.0,660.0,2021
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2021,9,7,0.0,98.0,350.0,2021
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2022,5,7,0.0,132.0,400.0,2022
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2022,6,18,0.0,168.0,690.0,2022
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2022,7,19,0.0,363.0,840.0,2022
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2022,8,16,0.0,140.0,450.0,2022
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2022,9,7,0.0,80.0,320.0,2022
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2023,5,5,0.0,121.0,310.0,2023
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2023,6,18,0.0,269.0,860.0,2023
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2023,7,23,0.0,192.0,900.0,2023
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2023,8,15,0.0,134.0,590.0,2023
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2023,9,11,0.0,180.0,370.0,2023
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2024,5,9,0.0,140.0,350.0,2024
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2024,6,12,0.0,120.0,810.0,2024
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2024,7,20,0.0,206.0,840.0,2024
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2024,8,19,0.0,249.0,640.0,2024
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2024,9,9,0.0,147.0,600.0,2024
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2025,5,2,0.0,47.0,480.0,2025
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2025,6,8,0.0,168.0,870.0,2025
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2025,7,10,0.0,105.0,1260.0,2025
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2025,8,11,0.0,100.0,1150.0,2025
Juniper Campground Group Site,Theodore Roosevelt National Park,NPS,2025,9,7,0.0,115.0,610.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2019,10,8,0.0,71.0,510.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,5,5,0.0,43.0,0.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,6,10,0.0,107.0,0.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,7,9,0.0,96.0,0.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,8,11,0.0,90.0,0.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,9,10,0.0,95.0,0.0,2020
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2020,10,7,0.0,52.0,10.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,5,5,0.0,30.0,760.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,6,9,0.0,103.0,980.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,7,13,0.0,123.0,1040.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,8,13,0.0,130.0,1230.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,9,12,0.0,86.0,1120.0,2021
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2021,10,7,0.0,56.0,650.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,5,8,0.0,76.0,790.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,6,12,0.0,134.0,1130.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,7,9,0.0,112.0,1170.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,8,9,0.0,83.0,1130.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,9,11,0.0,116.0,1150.0,2022
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2022,10,9,0.0,82.0,900.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,5,6,0.0,61.0,580.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,6,10,0.0,108.0,1200.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,7,8,0.0,57.0,1100.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,8,8,0.0,100.0,1320.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,9,7,0.0,59.0,1040.0,2023
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2023,10,10,0.0,80.0,840.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,5,10,0.0,97.0,1080.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,6,12,0.0,94.0,1130.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,7,13,0.0,150.0,1230.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,8,9,0.0,63.0,1250.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,9,9,0.0,96.0,1170.0,2024
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2024,10,5,0.0,38.0,920.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2025,5,10,0.0,90.0,2450.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2025,6,9,0.0,102.0,2040.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2025,7,14,0.0,140.0,1380.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2025,8,11,0.0,70.0,1970.0,2025
Roundup Group Horse Camp,Theodore Roosevelt National Park,NPS,2025,9,8,0.0,55.0,2030.0,2025
Sather Lake Campground,Dakota Prairie National Grasslands,USFS,2025,5,3,0.0,6.0,28.0,2025
Sather Lake Campground,Dakota Prairie National Grasslands,USFS,2025,6,6,0.0,9.0,66.0,2025
Sather Lake Campground,Dakota Prairie National Grasslands,USFS,2025,7,2,0.0,4.0,22.0,2025
Sather Lake Campground,Dakota Prairie National Grasslands,USFS,2025,8,2,0.0,4.0,18.0,2025
