county,year,visitor_spend_m,other_spend_m,total_spend_m,earnings_m,employment,local_tax_m,state_tax_m,total_tax_m,edition
Albany,2015,133.6,20.9,154.5,33.8,1730.0,3.5,5.4,8.9,2025
Albany,2016,129.1,18.3,147.4,34.4,1690.0,3.5,5.2,8.6,2025
Albany,2017,136.4,21.9,158.3,34.2,1610.0,3.6,5.5,9.1,2025
Albany,2018,146.1,25.9,172.0,36.4,1610.0,3.8,5.8,9.6,2025
Albany,2019,151.3,25.2,176.4,39.4,1690.0,4.0,5.9,10.0,2025
Albany,2020,130.1,17.8,147.9,36.9,1540.0,3.5,5.1,8.5,2025
Albany,2021,164.7,28.7,193.4,41.8,1650.0,4.5,7.0,11.5,2025
Albany,2022,170.9,29.0,200.0,47.5,1730.0,4.7,6.9,11.6,2025
Albany,2023,178.3,27.4,205.6,50.0,1720.0,5.0,7.1,12.1,2025
Albany,2024,183.0,27.2,210.2,51.2,1700.0,5.2,7.6,12.8,2025
Albany,2025,184.8,26.7,211.6,52.5,1700.0,5.2,7.7,13.0,2025
Big Horn,2015,23.2,6.3,29.5,4.9,320.0,0.3,1.1,1.4,2025
Big Horn,2016,23.6,5.5,29.0,5.1,340.0,0.3,1.1,1.4,2025
Big Horn,2017,24.3,6.5,30.8,5.3,370.0,0.3,1.1,1.5,2025
Big Horn,2018,25.7,7.6,33.3,5.5,390.0,0.4,1.2,1.5,2025
Big Horn,2019,25.0,7.3,32.3,5.9,400.0,0.3,1.2,1.5,2025
Big Horn,2020,20.5,5.1,25.7,5.8,350.0,0.3,0.9,1.2,2025
Big Horn,2021,27.1,8.4,35.5,6.7,390.0,0.4,1.3,1.7,2025
Big Horn,2022,29.1,9.0,38.0,7.4,360.0,0.5,1.3,1.7,2025
Big Horn,2023,31.7,8.4,40.1,8.1,370.0,0.6,1.4,1.9,2025
Big Horn,2024,32.5,8.3,40.7,10.0,420.0,0.6,1.5,2.1,2025
Big Horn,2025,34.3,8.1,42.4,9.4,410.0,0.7,1.5,2.2,2025
Campbell,2015,96.1,27.6,123.7,26.8,1060.0,2.0,4.7,6.7,2025
